Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
50,T. Delaney,Sevilla FC,16,0.06,0.078,"$900,000 ","$779,088 "
51,Lucas Paquetá,Olympique Lyonnais,15,0.059,0.066,"$1,800,000 ","$778,024 "
52,F. Kessié,AC Milan,13,0.05,0.006,NA,"$768,452 "
53,R. Malinovskyi,Atalanta,13,0.048,0.035,NA,"$766,324 "
54,K. Walker,Manchester City,12,0.047,0.021,"$400,000 ","$765,261 "
55,R. Gosens,Atalanta,12,0.045,0.018,"$150,000 ","$763,134 "
56,S. Mané,Liverpool,10,0.04,0.014,NA,"$757,815 "
57,L. Pellegrini,Roma,10,0.04,0.027,"$1,600,000 ","$757,815 "
58,D. Wass,Valencia CF,9,0.033,0.018,"$300,000 ","$750,370 "
59,A. Hakimi,Paris Saint-Germain,8,0.033,0.046,NA,"$750,370 "
60,Y. Tielemans,Leicester City,7,0.029,0.037,"$160,000 ","$746,116 "
61,Ricardo Pereira,Leicester City,7,0.028,0.099,"$290,000 ","$745,052 "
62,T. Hernández,AC Milan,7,0.027,0.015,NA,"$743,988 "
63,Grimaldo,SL Benfica,7,0.026,0.011,NA,"$742,925 "
64,21 Renato Augusto,Beijing Guoan FC,5,0.018,0.009,NA,"$734,416 "
65,Neymar Jr,Paris Saint-Germain,4,0.017,0.109,"$2,000,000 ","$733,352 "
66,K. Trippier,Atlético de Madrid,4,0.014,0.008,NA,"$730,161 "
67,N. De la Cruz,River Plate,2,0.008,0.157,"$1,100,000 ","$723,780 "
68,12 M. Ballack,Bayer 04 Leverusen,1,0.004,0.017,NA,"$719,525 "
69,Roberto Firmino,Liverpool,0,0.001,0.006,"$200,000 ","$716,334 "
70,19 C. Marchisio,Juventus,0,-0.002,0.03,NA,"$713,143 "
71,R. De Paul,Atlético de Madrid,-1,-0.002,0.085,"$800,000 ","$713,143 "
72,N. Kanté,Chelsea,-1,-0.004,0.068,"$600,000 ","$711,016 "
73,A. Florenzi,AC Milan,-1,-0.004,0.001,NA,"$711,016 "
74,Yuri Berchiche,Athletic Club de Bilbao,-2,-0.009,0.062,"$650,000 ","$705,698 "
75,G. Bale,Real Madrid CF,-4,-0.015,0.036,NA,"$699,316 "
76,Portu,Real Sociedad,-4,-0.016,0.013,"$100,000 ","$698,253 "
77,A. Di María,Paris Saint-Germain,-5,-0.021,0.01,NA,"$692,935 "
78,21 I. Fernández,River Plate,-5,-0.021,0.029,NA,"$692,935 "
79,Jesús Navas,Sevilla FC,-6,-0.022,0.006,NA,"$691,871 "
80,F. Valverde,Real Madrid CF,-6,-0.024,0.005,NA,"$689,744 "
81,R. Guerreiro,Borussia Dortmund,-7,-0.026,0.019,"$700,000 ","$687,617 "
82,L. Paredes,Paris Saint-Germain,-7,-0.028,0.005,NA,"$685,489 "
83,K. Mbappé,Paris Saint-Germain,-7,-0.029,0.009,NA,"$684,426 "
84,G. Lo Celso,Tottenham Hotspur,-8,-0.032,0.054,"$500,000 ","$681,235 "
85,19 D. Srna,Cagliari,-9,-0.033,0.015,NA,"$680,171 "
86,A. Kolarov,Inter,-9,-0.034,0.004,NA,"$679,108 "
87,Fred,Manchester United,-9,-0.034,0.019,"$50,000 ","$679,108 "
88,Carlos Soler,Valencia CF,-10,-0.037,0.1,"$50,000 ","$675,917 "
89,19 C. Noboa,,-10,-0.04,0.07,"$290,000 ","$672,726 "
90,Rúben Neves,Wolverhampton Wanderers,-10,-0.04,0.065,"$1,800,000 ","$672,726 "
91,Anderson Talisca,Al Nassr,-11,-0.041,0.002,NA,"$671,662 "
92,J. Corona,FC Porto,-11,-0.041,0.153,"$650,000 ","$671,662 "
93,Parejo,Villarreal CF,-12,-0.046,0.001,NA,"$666,344 "
94,C. Tolisso,FC Bayern München,-12,-0.046,0.032,NA,"$666,344 "
95,A. Witsel,Borussia Dortmund,-15,-0.057,0.002,NA,"$654,644 "
96,Raúl García,Athletic Club de Bilbao,-16,-0.061,0.001,"$270,000 ","$650,390 "
97,Fabinho,Liverpool,-17,-0.065,0.005,NA,"$646,135 "
98,A. Robertson,Liverpool,-17,-0.066,0.004,"$100,000 ","$645,072 "
99,T. Partey,Arsenal,-18,-0.069,0.066,"$1,400,000 ","$641,881 "
100,L. Robertone,Unión Deportiva Almería,-18,-0.069,0.003,NA,"$641,881 "
101,L. Provod,S Slavia Praha,-19,-0.072,0.001,"$900,000 ","$638,690 "
102,Renan Lodi,Atlético de Madrid,-19,-0.072,0.002,NA,"$638,690 "
103,M. Arnold,VfL Wolfsburg,-19,-0.074,0.009,"$450,000 ","$636,563 "
104,17 J. Vargas,Real Betis Balompié,-20,-0.076,0.001,NA,"$634,436 "
105,I. Bennacer,AC Milan,-20,-0.076,0.001,NA,"$634,436 "
106,E. Banega,Al Shabab,-20,-0.077,0.002,"$100,000 ","$633,372 "
107,H. Herrera,Atlético de Madrid,-20,-0.077,0.034,NA,"$633,372 "
108,Marcelo,Real Madrid CF,-21,-0.081,0.002,"$50,000 ","$629,118 "
109,W. McKennie,Juventus,-22,-0.084,0,NA,"$625,927 "
110,T. Lemar,Atlético de Madrid,-23,-0.089,0.007,NA,"$620,609 "
111,I. Peri?ic,Inter,-23,-0.09,0.026,NA,"$619,545 "
112,Arthur,Juventus,-23,-0.09,0.026,"$50,000 ","$619,545 "
113,17 S. Gerrard,LA Galaxy,-24,-0.092,0,NA,"$617,418 "
114,Capa,Athletic Club de Bilbao,-25,-0.096,0,NA,"$613,163 "
115,P. ?evcík,S Slavia Praha,-25,-0.097,0.007,"$400,000 ","$612,100 "
116,Oscar,Shanghai Port FC,-25,-0.097,0.103,"$1,100,000 ","$612,100 "
117,T. Kroos,Real Madrid CF,-26,-0.101,0.001,NA,"$607,845 "
118,F. Mendy,Real Madrid CF,-27,-0.106,0.007,NA,"$602,527 "
119,Alex Sandro,Juventus,-29,-0.112,0.001,"$180,000 ","$596,145 "
120,Diogo Jota,Liverpool,-29,-0.114,0.001,NA,"$594,018 "
121,L. Stindl,Borussia Mönchengladbach,-30,-0.116,0.001,NA,"$591,891 "
122,M. Pjanic,Besitas J,-31,-0.121,0.047,NA,"$586,573 "
123,J. Tavernier,Rangers FC,-33,-0.128,0.001,NA,"$579,128 "
124,O. Zinchenko,Manchester City,-34,-0.132,0.003,"$260,000 ","$574,873 "
125,Pizzi,SL Benfica,-34,-0.132,0.001,NA,"$574,873 "
126,17 P. Lahm,FC Bayern München,-35,-0.137,0.002,NA,"$569,555 "
127,H. Mkhitaryan,Roma,-36,-0.139,0.038,NA,"$567,428 "
128,M. Rashford,Manchester United,-36,-0.139,0.014,"$1,000,000 ","$567,428 "
129,L. Martínez,Inter,-36,-0.141,0.007,NA,"$565,300 "
130,H. Son,Tottenham Hotspur,-36,-0.141,0.007,"$1,000,000 ","$565,300 "
131,D. van de Beek,Manchester United,-36,-0.141,0.046,NA,"$565,300 "
132,T. Koopmeiners,Atalanta,-37,-0.144,0.018,NA,"$562,110 "
133,J. Milner,Liverpool,-38,-0.146,0.014,NA,"$559,982 "
134,19 Filipe Luís,Atlético de Madrid,-38,-0.146,0.01,"$725,000 ","$559,982 "
135,Sérgio Oliveira,FC Porto,-39,-0.153,0.024,"$200,000 ","$552,537 "
136,A. Golovin,AS Monaco,-39,-0.153,0.015,NA,"$552,537 "
137,Z. Junuzovic,FC Red Bull Salzburg,-41,-0.158,0.025,NA,"$547,219 "
138,20 T. Vilhena,,-41,-0.16,0.061,NA,"$545,092 "
139,M. Ham?ík,Trabzonspor,-43,-0.166,0.062,"$525,000 ","$538,710 "
140,J. Ward-Prowse,Southampton,-44,-0.169,0.006,NA,"$535,519 "
141,C. Aránguiz,Bayer 04 Leverusen,-44,-0.17,0.003,NA,"$534,456 "
142,Ander Herrera,Paris Saint-Germain,-45,-0.174,0.002,NA,"$530,201 "
143,Fernandinho,Manchester City,-45,-0.176,0.001,NA,"$528,074 "
144,M. Uribe,FC Porto,-46,-0.178,0.023,NA,"$525,947 "
145,G. Bonaventura,Fiorentina,-47,-0.183,0.026,NA,"$520,629 "
146,G. Kondogbia,Atlético de Madrid,-48,-0.188,0.015,NA,"$515,310 "
147,Lucas Vázquez,Real Madrid CF,-49,-0.189,0.018,"$800,000 ","$514,247 "
148,16 Michel Bastos,São Paulo,-49,-0.19,0.004,NA,"$513,183 "
149,K. Laimer,RB Leipzig,-51,-0.199,0.014,"$725,000 ","$503,611 "
150,16 Maicon,Roma,-54,-0.209,0.047,"$1,100,000 ","$492,974 "
151,T. Müller,FC Bayern München,-54,-0.21,0.015,NA,"$491,911 "
152,17 B. Trémoulinas,Sevilla FC,-55,-0.215,0.012,NA,"$486,593 "
153,A. Rabiot,Juventus,-56,-0.216,0.081,"$625,000 ","$485,529 "
154,16 Raúl Meireles,Fenerbahçe S,-56,-0.218,0.03,"$900,000 ","$483,402 "
155,J. Vardy,Leicester City,-57,-0.219,0.022,"$475,000 ","$482,338 "
156,J. Kucka,Watford,-57,-0.223,0.017,"$650,000 ","$478,084 "
157,P. Dybala,Juventus,-58,-0.225,0.024,NA,"$475,957 "
158,T. Savanier,Montpellier Hérault SC,-59,-0.228,0.004,NA,"$472,766 "
159,Campaña,Levante Unión Deportiva,-61,-0.236,0.001,NA,"$464,257 "
160,21 Hulk,Shanghai Port FC,-61,-0.237,0.071,"$1,800,000 ","$463,193 "
161,Cristiano Ronaldo,Manchester United,-62,-0.24,0.02,"$700,000 ","$460,002 "
162,F. Mendy,Real Madrid CF,-64,-0.248,0.021,"$675,000 ","$451,493 "
163,Neymar Jr,Paris Saint-Germain,-64,-0.248,0.005,"$20,000 ","$451,493 "
164,G. Bale,Los Angeles FC,-65,-0.252,0.023,"$700,000 ","$447,239 "
165,R. Andrich,Bayer 04 Leverkusen,-66,-0.256,0.008,NA,"$442,984 "
166,K. Laimer,RB Leipzig,-68,-0.263,0.013,"$325,000 ","$435,539 "
167,M. Reus,Borussia Dortmund,-68,-0.264,0.001,NA,"$434,475 "
168,M. Arnold,VfL Wolfsburg,-71,-0.277,0.008,"$400,000 ","$420,648 "
169,N. Kanté,Chelsea,-75,-0.292,0.04,"$400,000 ","$404,694 "
170,A. Robertson,Liverpool,-77,-0.296,0.088,"$450,000 ","$400,440 "
171,A. Florenzi,AC Milan,-78,-0.303,0.075,"$850,000 ","$392,994 "
172,17 S. Gerrard,LA Galaxy,-80,-0.309,0.068,NA,"$386,613 "
173,Y. Carrasco,Atlético de Madrid,-81,-0.312,0.088,NA,"$383,422 "
174,Anderson Talisca,Al Nassr,-82,-0.317,0.075,"$60,000 ","$378,104 "
175,Lucas Vázquez,Real Madrid CF,-83,-0.32,0.059,"$950,000 ","$374,913 "
176,Oscar,Shanghai Port FC,-83,-0.321,0.019,NA,"$373,849 "
177,Renan Lodi,Atlético de Madrid,-83,-0.321,0.009,"$300,000 ","$373,849 "
178,M. Faraoni,Hellas Verona,-90,-0.347,0.021,NA,"$346,195 "
179,T. Savanier,Montpellier Hérault SC,-90,-0.347,0.029,"$950,000 ","$346,195 "
180,N. Stanciu,Wuhan Three Towns,-91,-0.354,0.061,NA,"$338,750 "
181,L. Paredes,Paris Saint-Germain,-93,-0.359,0.055,NA,"$333,432 "
182,J. Ward-Prowse,Southampton,-95,-0.369,0.068,"$500,000 ","$322,795 "
183,M. Casco,River Plate,-96,-0.373,0.003,"$900,000 ","$318,541 "
184,R. Nainggolan,Royal Antwerp FC,-100,-0.387,0.02,"$220,000 ","$303,650 "
185,K. Benzema,Real Madrid CF,-100,-0.388,0.083,"$375,000 ","$302,587 "
186,T. Kroos,Real Madrid CF,-101,-0.391,0.055,"$1,400,000 ","$299,396 "
187,17 P. Lahm,FC Bayern München,-102,-0.394,0.006,"$210,000 ","$296,205 "
188,É. Banega,Al Shabab,-102,-0.396,0.017,"$700,000 ","$294,078 "
189,J. Ward-Prowse,Southampton,-104,-0.404,0.003,"$450,000 ","$285,569 "
190,C. Aránguiz,Bayer 04 Leverusen,-105,-0.407,0.039,"$500,000 ","$282,378 "
191,Ander Herrera,Paris Saint-Germain,-110,-0.427,0.081,"$800,000 ","$261,106 "
192,Fernandinho,Manchester City,-114,-0.44,0.017,"$20,000 ","$247,279 "
193,M. Uribe,FC Porto,-120,-0.466,0.067,NA,"$219,625 "
194,G. Bonaventura,Fiorentina,-121,-0.468,0.04,"$60,000 ","$217,497 "
195,G. Kondogbia,Atlético de Madrid,-133,-0.515,0.051,NA,"$167,507 "
196,Lucas Vázquez,Real Madrid CF,-144,-0.557,0.081,"$60,000 ","$122,835 "
197,16 Michel Bastos,São Paulo,-180,-0.697,0.076,"$900,000 ","$26,071"
198,K. Laimer,RB Leipzig,-183,-0.707,0.095,"$1,900,000 ","$36,708"
199,16 Maicon,Roma,-222,-0.858,0.049,"$475,000 ","$197,314"
