Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
61,Ricardo Pereira,Leicester City,-4,-0.014,0.03,"$185,700 ","$638,383 "
62,T. Hernández,AC Milan,-4,-0.014,0.011,,"$638,383 "
63,Grimaldo,SL Benfica,-8,-0.026,0.05,"$593,750 ","$621,535 "
64,21 Renato Augusto,Beijing Guoan FC,-8,-0.027,0.097,"$15,620 ","$620,131 "
65,Neymar Jr,Paris Saint-Germain,-11,-0.039,0.103,"$406,250 ","$603,283 "
66,K. Trippier,Atlético de Madrid,-12,-0.043,0.078,"$312,500 ","$597,667 "
67,N. De la Cruz,River Plate,-13,-0.045,0.017,"$62,500 ","$594,859 "
68,12 M. Ballack,Bayer 04 Leverusen,-14,-0.05,0.016,"$285,700 ","$587,839 "
69,Roberto Firmino,Liverpool,-15,-0.051,0.051,"$285,700 ","$586,435 "
70,19 C. Marchisio,Juventus,-15,-0.055,0.02,"$342,900 ","$580,819 "
71,R. De Paul,Atlético de Madrid,-17,-0.06,0.061,"$500,000 ","$573,799 "
72,N. Kanté,Chelsea,-18,-0.065,0.017,"$28,600 ","$566,779 "
73,A. Florenzi,AC Milan,-19,-0.067,0.004,"$760,000 ","$563,971 "
74,Yuri Berchiche,Athletic Club de Bilbao,-20,-0.07,0.033,"$468,750 ","$559,759 "
75,G. Bale,Real Madrid CF,-22,-0.077,0.023,"$156,250 ","$549,931 "
76,Portu,Real Sociedad,-23,-0.08,0.079,"$1,200,000 ","$545,719 "
77,A. Di María,Paris Saint-Germain,-27,-0.095,0.003,"$42,900 ","$524,659 "
78,21 I. Fernández,River Plate,-29,-0.102,0.051,"$750,000 ","$514,831 "
79,Jesús Navas,Sevilla FC,-31,-0.109,0.019,,"$505,003 "
80,F. Valverde,Real Madrid CF,-31,-0.109,0.052,"$281,250 ","$505,003 "
81,R. Guerreiro,Borussia Dortmund,-32,-0.113,0.002,"$457,100 ","$499,387 "
82,L. Paredes,Paris Saint-Germain,-34,-0.12,0.02,"$85,940 ","$489,559 "
83,K. Mbappé,Paris Saint-Germain,-34,-0.12,0.002,"$714,300 ","$489,559 "
84,G. Lo Celso,Tottenham Hotspur,-35,-0.124,0.019,"$600,000 ","$483,943 "
85,19 D. Srna,Cagliari,-35,-0.124,0.005,"$78,600 ","$483,943 "
86,A. Kolarov,Inter,-36,-0.127,0.012,"$500,000 ","$479,731 "
87,Fred,Manchester United,-38,-0.133,0.028,,"$471,307 "
88,Carlos Soler,Valencia CF,-39,-0.138,0.001,"$1,953,130 ","$464,287 "
89,19 C. Noboa,,-39,-0.139,0.007,"$271,400 ","$462,883 "
90,Rúben Neves,Wolverhampton Wanderers,-41,-0.144,0.024,"$28,600 ","$455,863 "
91,Anderson Talisca,Al Nassr,-43,-0.151,0.037,"$428,600 ","$446,035 "
92,J. Corona,FC Porto,-43,-0.152,0.082,"$1,093,750 ","$444,631 "
93,Parejo,Villarreal CF,-44,-0.154,0.036,"$750,000 ","$441,823 "
94,C. Tolisso,FC Bayern München,-44,-0.157,0.013,"$2,343,750 ","$437,611 "
95,A. Witsel,Borussia Dortmund,-45,-0.158,0.023,"$107,100 ","$436,207 "
96,Raúl García,Athletic Club de Bilbao,-46,-0.162,0.004,"$110,000 ","$430,591 "
97,Fabinho,Liverpool,-46,-0.163,0.001,"$171,400 ","$429,187 "
98,A. Robertson,Liverpool,-48,-0.169,0.088,"$171,400 ","$420,763 "
99,T. Partey,Arsenal,-48,-0.169,0.054,"$628,600 ","$420,763 "
100,L. Robertone,Unión Deportiva Almería,-51,-0.18,0.012,"$42,900 ","$405,319 "
101,L. Provod,S Slavia Praha,-51,-0.18,0.002,"$468,750 ","$405,319 "
102,Renan Lodi,Atlético de Madrid,-51,-0.181,0.054,"$1,142,900 ","$403,915 "
103,M. Arnold,VfL Wolfsburg,-52,-0.183,0.019,"$750,000 ","$401,107 "
104,17 J. Vargas,Real Betis Balompié,-52,-0.184,0.001,"$500,000 ","$399,703 "
105,I. Bennacer,AC Milan,-53,-0.187,0.001,"$71,400 ","$395,491 "
106,E. Banega,Al Shabab,-54,-0.192,0.033,"$28,600 ","$388,471 "
107,H. Herrera,Atlético de Madrid,-56,-0.197,0.032,"$78,130 ","$381,451 "
108,Marcelo,Real Madrid CF,-57,-0.201,0.009,"$285,700 ","$375,835 "
109,W. McKennie,Juventus,-63,-0.221,0.028,"$968,750 ","$347,755 "
110,T. Lemar,Atlético de Madrid,-63,-0.222,0.045,"$685,700 ","$346,351 "
111,I. Peri?ic,Inter,-64,-0.227,0.072,"$71,400 ","$339,331 "
112,Arthur,Juventus,-67,-0.235,0.013,"$28,600 ","$328,099 "
113,17 S. Gerrard,LA Galaxy,-68,-0.239,0.007,"$31,250 ","$322,483 "
114,Capa,Athletic Club de Bilbao,-70,-0.246,0.014,"$157,100 ","$312,655 "
115,P. ?evcík,S Slavia Praha,-70,-0.246,0.013,"$468,750 ","$312,655 "
116,Oscar,Shanghai Port FC,-70,-0.247,0.027,"$457,100 ","$311,251 "
117,T. Kroos,Real Madrid CF,-71,-0.251,0.064,"$937,500 ","$305,635 "
118,F. Mendy,Real Madrid CF,-72,-0.253,0.049,"$2,000,000 ","$302,827 "
119,Alex Sandro,Juventus,-79,-0.276,0.048,"$468,750 ","$270,535 "
120,Diogo Jota,Liverpool,-89,-0.315,0.006,"$234,380 ","$215,779 "
121,L. Stindl,Borussia Mönchengladbach,-89,-0.315,0.052,"$500,000 ","$215,779 "
122,M. Pjanic,Besitas J,-99,-0.347,0.052,"$1,328,130 ","$170,851 "
123,J. Tavernier,Rangers FC,-104,-0.367,0.022,"$28,600 ","$142,771 "
124,O. Zinchenko,Manchester City,-104,-0.368,0.078,"$1,375,000 ","$141,367 "
125,Pizzi,SL Benfica,-108,-0.38,0.007,"$600,000 ","$124,519 "
126,17 P. Lahm,FC Bayern München,-111,-0.391,0.013,"$1,718,750 ","$109,075 "
127,H. Mkhitaryan,Roma,-111,-0.391,0.054,"$500,000 ","$109,075 "
128,M. Rashford,Manchester United,-112,-0.394,0.029,"$1,100,000 ","$104,863 "
129,L. Martínez,Inter,-114,-0.402,0.066,"$406,250 ","$93,631 "
130,H. Son,Tottenham Hotspur,-126,-0.444,0.045,"$1,953,130 ","$34,663 "
131,D. van de Beek,Manchester United,-189,-0.667,0.059,"$430,000 ","$278,429"
