Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
60, Angeliño,PSV,8,0.029,0.047,NA,"$503,860 "
61, C. Noboa,,7,0.024,0.055,NA,"$500,970 "
62, K. Boateng,FC Barcelona,5,0.019,0.089,NA,"$498,079 "
63, K. Asamoah,Inter,3,0.011,0.088,NA,"$493,455 "
64, D. Caligiuri,FC Schalke 04,3,0.009,0.011,NA,"$492,299 "
65, J. Rodríguez,FC Bayern München,2,0.008,0.022,NA,"$491,721 "
66, Grimaldo,SL Benfica,2,0.007,0.002,NA,"$491,143 "
67, M. Ham?ík,Dalian YiFang FC,1,0.002,0.011,NA,"$488,252 "
68, Fred,Manchester United,0,0,0,NA,"$487,096 "
69, J. Cuadrado,Juventus,-2,-0.006,0.01,NA,"$483,628 "
70, T. Meunier,Paris Saint-Germain,-4,-0.016,0.009,NA,"$477,848 "
71, Coutinho,FC Barcelona,-7,-0.024,0.019,"$225,000 ","$473,223 "
72, T. Kroos,Real Madrid,-7,-0.026,0.047,"$475,000 ","$472,067 "
73, E. Cavani,Paris Saint-Germain,-8,-0.029,0.016,NA,"$470,333 "
74, J. Henderson,Liverpool,-9,-0.032,0.108,NA,"$468,599 "
75, G. Kondogbia,Valencia CF,-9,-0.034,0.02,NA,"$467,443 "
76, M. Brozovic,Inter,-11,-0.041,0.026,"$300,000 ","$463,396 "
77, M. Dembélé,Guangzhou R&F FC,-12,-0.044,0.045,"$900,000 ","$461,662 "
78, Pizzi,SL Benfica,-13,-0.048,0.009,NA,"$459,350 "
79, A. Guardado,Real Betis,-14,-0.049,0.002,NA,"$458,772 "
80, K. Trippier,Tottenham Hotspur,-15,-0.053,0.039,"$525,000 ","$456,460 "
81, E. Can,Juventus,-16,-0.057,0.046,"$350,000 ","$454,147 "
82, Arthur,FC Barcelona,-17,-0.06,0.002,NA,"$452,413 "
83, Antunes,Getafe CF,-18,-0.065,0.026,"$150,000 ","$449,523 "
84, C. Aránguiz,Bayer 04 Leverkusen,-19,-0.067,0.001,NA,"$448,367 "
85, M. Verratti,Paris Saint-Germain,-19,-0.069,0.008,NA,"$447,211 "
86, R. Lewandowski,FC Bayern München,-21,-0.076,0.002,NA,"$443,164 "
87, Z. Junuzovic,FC Red Bull Salzburg,-22,-0.078,0.096,"$625,000 ","$442,008 "
88, M. Parolo,Lazio,-22,-0.08,0.006,"$125,000 ","$440,852 "
89, Neymar Jr,Paris Saint-Germain,-23,-0.081,0.001,NA,"$440,274 "
90, F. Kessié,Milan,-23,-0.083,0.002,NA,"$439,118 "
91, Ricardo Pereira,Leicester City,-24,-0.085,0,"$225,000 ","$437,962 "
92, I. Gündogan,Manchester City,-26,-0.092,0,NA,"$433,916 "
93, S. Khedira,Juventus,-27,-0.096,0,NA,"$431,603 "
94, G. Lo Celso,Real Betis,-27,-0.097,0.02,NA,"$431,025 "
95, M. Sanson,Olympique de Marseille,-27,-0.098,0.004,NA,"$430,447 "
96, E. Banega,Sevilla FC,-30,-0.109,0.008,NA,"$424,089 "
97, F. de Jong,Ajax,-34,-0.123,0.01,"$100,000 ","$415,996 "
98, L. Digne,Everton,-35,-0.124,0.064,"$350,000 ","$415,418 "
99, S. Lulic,Lazio,-35,-0.127,0.003,NA,"$413,684 "
100, R. Malinovskyi,KRC Genk,-37,-0.132,0.103,"$275,000 ","$410,794 "
101, A. Sánchez,Manchester United,-37,-0.133,0.016,NA,"$410,216 "
102, S. Mané,Liverpool,-38,-0.136,0.01,NA,"$408,481 "
103, Anderson Talisca,Guangzhou Evergrande Taobao FC,-40,-0.142,0.048,NA,"$405,013 "
104, J. Kucka,Parma,-41,-0.147,0.012,"$400,000 ","$402,123 "
105, Gabriel,SL Benfica,-41,-0.148,0.002,NA,"$401,545 "
106, E. Hazard,Chelsea,-41,-0.148,0.03,"$500,000 ","$401,545 "
107, T. Vilhena,Feyenoord,-42,-0.151,0.107,"$450,000 ","$399,811 "
108, S. Umtiti,FC Barcelona,-43,-0.155,0.03,NA,"$397,498 "
109, A. Di María,Paris Saint-Germain,-43,-0.155,0.039,"$200,000 ","$397,498 "
110, Filipe Luís,Atlético Madrid,-45,-0.161,0.036,NA,"$394,030 "
111, Vieirinha,PAOK,-49,-0.177,0.001,NA,"$384,781 "
112, R. Guerreiro,Borussia Dortmund,-50,-0.181,0.09,"$350,000 ","$382,469 "
113, Manuel Fernandes,Lokomotiv Moscow,-50,-0.181,0.001,NA,"$382,469 "
114, Thiago Mendes,LOSC Lille,-51,-0.183,0.067,NA,"$381,313 "
115, Y. Belhanda,Galatasaray SK,-51,-0.183,0.005,NA,"$381,313 "
116, M. Götze,Borussia Dortmund,-52,-0.188,0.049,NA,"$378,423 "
117, Parejo,Valencia CF,-52,-0.188,0.107,"$875,000 ","$378,423 "
118, J. Milner,Liverpool,-53,-0.192,0.054,"$225,000 ","$376,111 "
119, L. Stindl,Borussia Mönchengladbach,-55,-0.197,0.004,"$200,000 ","$373,220 "
120, Rúben Neves,Wolverhampton Wanderers,-55,-0.199,0.015,NA,"$372,064 "
121, L. Piszczek,Borussia Dortmund,-55,-0.199,0.018,NA,"$372,064 "
122, Danilo,Manchester City,-57,-0.204,0.032,NA,"$369,174 "
123, Lucas Vázquez,Real Madrid,-58,-0.21,0.018,"$110,000 ","$365,706 "
124, R. Vormer,Club Brugge KV,-60,-0.215,0.002,NA,"$362,815 "
125, A. Oxlade-Chamberlain,Liverpool,-61,-0.22,0.014,NA,"$359,925 "
126, L. Paredes,Paris Saint-Germain,-62,-0.224,0.037,NA,"$357,613 "
127, F. Delph,Manchester City,-62,-0.225,0.049,"$675,000 ","$357,035 "
128, C. Eriksen,Tottenham Hotspur,-63,-0.226,0.093,NA,"$356,457 "
129, D. van de Beek,Ajax,-68,-0.246,0.065,"$200,000 ","$344,896 "
130, Gazzolisco,Internacional,-69,-0.249,0.023,NA,"$343,162 "
131, B. Ndiaye,Galatasaray SK,-69,-0.249,0.126,"$550,000 ","$343,162 "
132, D. Criscito,Genoa,-70,-0.253,0.038,NA,"$340,849 "
133, K. Mbappé,Paris Saint-Germain,-71,-0.257,0.006,NA,"$338,537 "
134, H. Son,Tottenham Hotspur,-72,-0.26,0.008,NA,"$336,803 "
135, L. Torreira,Arsenal,-72,-0.26,0.005,NA,"$336,803 "
136, Isco,Real Madrid,-72,-0.261,0.038,"$575,000 ","$336,225 "
137, M. Mand?ukic,Juventus,-74,-0.265,0.025,"$675,000 ","$333,913 "
138, J. Roussillon,VfL Wolfsburg,-76,-0.273,0.012,NA,"$329,288 "
139, H. Herrera,FC Porto,-78,-0.281,0.029,"$500,000 ","$324,664 "
140, A. Ramsey,Arsenal,-84,-0.302,0.007,NA,"$312,525 "
141, J. Lingard,Manchester United,-85,-0.304,0.031,NA,"$311,369 "
142, Lucas Paquetá,Milan,-85,-0.306,0.026,NA,"$310,213 "
143, Maurício,PAOK,-96,-0.345,0.03,"$425,000 ","$287,669 "
144, F. Ghoulam,Napoli,-100,-0.359,0.049,"$650,000 ","$279,576 "
145, W. Rooney,DC United,-102,-0.366,0.049,NA,"$275,530 "
146, Portu,Girona FC,-109,-0.392,0.113,NA,"$260,500 "
147, D. Rose,Tottenham Hotspur,-112,-0.402,0.004,NA,"$254,720 "
148, S. Rudy,FC Schalke 04,-112,-0.403,0.089,"$600,000 ","$254,142 "
149, J. Draxler,Paris Saint-Germain,-114,-0.409,0.064,"$950,000 ","$250,674 "
150, D. Suárez,Getafe CF,-118,-0.425,0.035,NA,"$241,425 "
151, Sergi Roberto,FC Barcelona,-118,-0.426,0.077,"$675,000 ","$240,847 "
152, Illarramendi,Real Sociedad,-120,-0.432,0.006,NA,"$237,378 "
153, Rubén Peña,SD Eibar,-122,-0.44,0.063,"$500,000 ","$232,754 "
154, M. Layún,Monterrey,-131,-0.471,0.026,NA,"$214,834 "
155, M. Rashford,Manchester United,-131,-0.473,0.045,NA,"$213,678 "
156, Lucas Leiva,Lazio,-142,-0.511,0.078,NA,"$191,712 "
157, M. Wakaso,Deportivo Alavés,-158,-0.57,0.096,NA,"$157,607 "
158, K. Demirbay,TSG 1899 Hoffenheim,-161,-0.578,0.06,"$175,000 ","$152,983 "
159, H. Ziyech,Ajax,-165,-0.594,0.037,NA,"$143,734 "
160, Rafael,Olympique Lyonnais,-236,-0.849,0.08,"$900,000 ","$3,669"
