Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
40,H. Kane,Tottenham Hotspur,55,0.185,0.071,"$28,600 ","$854,652 "
41,19 Dani Alves,Paris Saint-Germain,54,0.183,0.062,"$1,718,750 ","$851,743 "
42,M. Brozovic,Inter,52,0.177,0.143,"$430,000 ","$843,017 "
43,M. Verratti,Paris Saint-Germain,44,0.15,0.091,"$687,500 ","$803,749 "
44,Saúl,Chelsea,37,0.124,0.099,"$1,718,750 ","$765,935 "
45,Thiago,Liverpool,35,0.117,0.087,"$1,250,000 ","$755,754 "
46,J. Veretout,Roma,33,0.111,0.063,"$314,300 ","$747,028 "
47,J. Henderson,Liverpool,20,0.068,0.06,"$500,000 ","$684,490 "
48,I. Gündogan,Manchester City,19,0.064,0.064,"$28,600 ","$678,672 "
49,R. Nainggolan,Royal Antwerp FC,15,0.052,0.071,"$625,000 ","$661,219 "
50,T. Delaney,Sevilla FC,15,0.05,0.018,"$28,600 ","$658,311 "
51,Lucas Paquetá,Olympique Lyonnais,14,0.048,0.026,"$625,000 ","$655,402 "
52,F. Kessié,AC Milan,5,0.016,0.012,"$31,250 ","$608,862 "
53,R. Malinovskyi,Atalanta,4,0.013,0.012,"$78,130 ","$604,499 "
54,K. Walker,Manchester City,3,0.009,0.062,"$468,750 ","$598,681 "
55,R. Gosens,Atalanta,1,0.005,0.049,"$2,343,750 ","$592,864 "
56,S. Mané,Liverpool,1,0.005,0.083,"$406,250 ","$592,864 "
57,L. Pellegrini,Roma,0,0.001,0.044,"$714,300 ","$587,046 "
58,D. Wass,Valencia CF,0,-0.002,0.1,"$296,880 ","$582,683 "
59,A. Hakimi,Paris Saint-Germain,-1,-0.004,0.079,"$1,953,130 ","$579,774 "
60,Y. Tielemans,Leicester City,-3,-0.011,0.124,"$785,700 ","$569,593 "
61,Ricardo Pereira,Leicester City,-5,-0.018,0.014,"$593,750 ","$559,413 "
62,T. Hernández,AC Milan,-8,-0.029,0.063,"$2,343,750 ","$543,415 "
63,Grimaldo,SL Benfica,-9,-0.03,0.1,"$1,953,130 ","$541,960 "
64,21 Renato Augusto,Beijing Guoan FC,-9,-0.03,0.005,"$156,250 ","$541,960 "
65,Neymar Jr,Paris Saint-Germain,-11,-0.037,0.051,"$468,750 ","$531,779 "
66,K. Trippier,Atlético de Madrid,-12,-0.042,0.066,"$100,000 ","$524,508 "
67,N. De la Cruz,River Plate,-15,-0.049,0.011,"$78,130 ","$514,327 "
68,12 M. Ballack,Bayer 04 Leverusen,-16,-0.053,0.007,"$71,400 ","$508,509 "
69,Roberto Firmino,Liverpool,-16,-0.054,0.001,"$31,250 ","$507,055 "
70,19 C. Marchisio,Juventus,-17,-0.056,0.107,"$468,750 ","$504,146 "
71,R. De Paul,Atlético de Madrid,-17,-0.057,0.004,"$110,000 ","$502,692 "
72,N. Kanté,Chelsea,-17,-0.059,0.002,"$125,000 ","$499,783 "
73,A. Florenzi,AC Milan,-18,-0.06,0.005,"$148,440 ","$498,329 "
74,Yuri Berchiche,Athletic Club de Bilbao,-19,-0.063,0.038,"$964,300 ","$493,966 "
75,G. Bale,Real Madrid CF,-19,-0.065,0.025,"$478,000 ","$491,057 "
76,Portu,Real Sociedad,-19,-0.065,0.051,"$1,214,300 ","$491,057 "
77,A. Di María,Paris Saint-Germain,-23,-0.078,0.014,"$1,218,750 ","$472,150 "
78,21 I. Fernández,River Plate,-24,-0.08,0.009,"$35,700 ","$469,241 "
79,Jesús Navas,Sevilla FC,-24,-0.081,0.001,"$28,600 ","$467,787 "
80,F. Valverde,Real Madrid CF,-24,-0.081,0.001,"$157,100 ","$467,787 "
81,R. Guerreiro,Borussia Dortmund,-25,-0.084,0.009,"$342,900 ","$463,424 "
82,L. Paredes,Paris Saint-Germain,-26,-0.088,0.011,"$31,250 ","$457,606 "
83,K. Mbappé,Paris Saint-Germain,-27,-0.092,0,"$28,600 ","$451,788 "
84,G. Lo Celso,Tottenham Hotspur,-31,-0.105,0.002,"$16,000 ","$432,882 "
85,19 D. Srna,Cagliari,-34,-0.116,0.015,"$45,000 ","$416,883 "
86,A. Kolarov,Inter,-34,-0.116,0,"$285,700 ","$416,883 "
87,Fred,Manchester United,-35,-0.117,0.015,"$156,250 ","$415,429 "
88,Carlos Soler,Valencia CF,-35,-0.117,0.011,"$285,700 ","$415,429 "
89,19 C. Noboa,,-35,-0.119,0.121,"$62,500 ","$412,520 "
90,Rúben Neves,Wolverhampton Wanderers,-35,-0.12,0.021,"$28,600 ","$411,066 "
91,Anderson Talisca,Al Nassr,-39,-0.131,0.076,"$531,250 ","$395,068 "
92,J. Corona,FC Porto,-39,-0.131,0.021,"$71,400 ","$395,068 "
93,Parejo,Villarreal CF,-39,-0.131,0.001,"$142,900 ","$395,068 "
94,C. Tolisso,FC Bayern München,-39,-0.133,0.021,"$1,328,130 ","$392,159 "
95,A. Witsel,Borussia Dortmund,-40,-0.135,0.002,"$28,600 ","$389,250 "
96,Raúl García,Athletic Club de Bilbao,-40,-0.136,0.028,"$218,750 ","$387,796 "
97,Fabinho,Liverpool,-41,-0.138,0.002,"$875,000 ","$384,887 "
98,A. Robertson,Liverpool,-41,-0.139,0.006,"$142,900 ","$383,433 "
99,T. Partey,Arsenal,-41,-0.139,0.001,"$109,380 ","$383,433 "
100,L. Robertone,Unión Deportiva Almería,-42,-0.141,0.002,"$78,600 ","$380,524 "
101,L. Provod,S Slavia Praha,-42,-0.142,0.021,"$900,000 ","$379,069 "
102,Renan Lodi,Atlético de Madrid,-42,-0.142,0.038,"$1,107,100 ","$379,069 "
103,M. Arnold,VfL Wolfsburg,-43,-0.145,0.089,"$285,700 ","$374,706 "
104,17 J. Vargas,Real Betis Balompié,-45,-0.15,0.021,"$15,620 ","$367,434 "
105,I. Bennacer,AC Milan,-45,-0.152,0.008,"$342,900 ","$364,526 "
106,E. Banega,Al Shabab,-48,-0.161,0.012,"$906,250 ","$351,436 "
107,H. Herrera,Atlético de Madrid,-51,-0.171,0.037,"$1,000,000 ","$336,892 "
108,Marcelo,Real Madrid CF,-53,-0.177,0.029,"$500,000 ","$328,166 "
109,W. McKennie,Juventus,-53,-0.179,0.006,"$312,500 ","$325,257 "
110,T. Lemar,Atlético de Madrid,-54,-0.181,0.05,"$85,700 ","$322,348 "
111,I. Peri?ic,Inter,-55,-0.185,0.089,"$1,093,750 ","$316,531 "
112,Arthur,Juventus,-56,-0.19,0.01,"$265,630 ","$309,259 "
113,17 S. Gerrard,LA Galaxy,-57,-0.191,0.045,"$1,142,900 ","$307,805 "
114,Capa,Athletic Club de Bilbao,-57,-0.192,0,"$156,250 ","$306,350 "
115,P. ?evcík,S Slavia Praha,-61,-0.207,0.037,"$142,900 ","$284,535 "
116,Oscar,Shanghai Port FC,-63,-0.213,0.089,"$125,000 ","$275,808 "
117,T. Kroos,Real Madrid CF,-63,-0.214,0.072,"$428,600 ","$274,354 "
118,F. Mendy,Real Madrid CF,-64,-0.217,0.088,"$1,100,000 ","$269,991 "
119,Alex Sandro,Juventus,-65,-0.22,0.006,"$15,000 ","$265,628 "
120,Diogo Jota,Liverpool,-72,-0.245,0.07,"$628,600 ","$229,268 "
121,L. Stindl,Borussia Mönchengladbach,-75,-0.253,0.03,"$85,940 ","$217,633 "
122,M. Pjanic,Besitas J,-76,-0.256,0.019,"$31,250 ","$213,270 "
123,J. Tavernier,Rangers FC,-93,-0.316,0.028,"$28,600 ","$126,007 "
124,O. Zinchenko,Manchester City,-94,-0.317,0.022,"$271,400 ","$124,553 "
125,Pizzi,SL Benfica,-103,-0.347,0.011,"$285,700 ","$80,921 "
126,17 P. Lahm,FC Bayern München,-105,-0.355,0.137,"$2,214,300 ","$69,286 "
127,H. Mkhitaryan,Roma,-106,-0.359,0.024,"$28,600 ","$63,469 "
128,M. Rashford,Manchester United,-107,-0.363,0.003,"$625,000 ","$57,651 "
129,L. Martínez,Inter,-107,-0.363,0.003,"$656,250 ","$57,651 "
130,H. Son,Tottenham Hotspur,-109,-0.369,0.019,"$28,600 ","$48,925 "
131,D. van de Beek,Manchester United,-114,-0.385,0.026,"$760,000 ","$25,655 "
132,T. Koopmeiners,Atalanta,-114,-0.386,0.006,"$342,900 ","$24,200 "
133,J. Milner,Liverpool,-116,-0.392,0.038,"$428,600 ","$15,474 "
134,19 Filipe Luís,Atlético de Madrid,-123,-0.416,0.052,"$71,400 ","$19,431"
135,Sérgio Oliveira,FC Porto,-124,-0.419,0.062,"$185,700 ","$23,794"
136,A. Golovin,AS Monaco,-126,-0.425,0.025,"$428,600 ","$32,521"
137,Z. Junuzovic,FC Red Bull Salzburg,-126,-0.426,0.015,"$71,400 ","$33,975"
138,20 T. Vilhena,,-128,-0.433,0.092,"$500,000 ","$44,156"
139,M. Ham?ík,Trabzonspor,-136,-0.46,0.063,"$1,328,130 ","$83,424"
140,J. Ward-Prowse,Southampton,-137,-0.464,0.006,NA,"$89,242"
141,C. Aránguiz,Bayer 04 Leverusen,-141,-0.476,0.038,"$187,500 ","$106,694"
142,Ander Herrera,Paris Saint-Germain,-143,-0.483,0.033,"$1,156,250 ","$116,875"
143,Fernandinho,Manchester City,-146,-0.494,0.041,"$1,535,700 ","$132,873"
144,M. Uribe,FC Porto,-148,-0.501,0.033,"$500,000 ","$143,054"
145,G. Bonaventura,Fiorentina,-149,-0.502,0.019,"$430,000 ","$144,508"
146,G. Kondogbia,Atlético de Madrid,-180,-0.607,0.081,"$714,300 ","$297,218"
147,Lucas Vázquez,Real Madrid CF,-191,-0.646,0.061,"$468,750 ","$353,939"
148,16 Michel Bastos,São Paulo,-215,-0.726,0.067,"$31,250 ","$470,290"
149,K. Laimer,RB Leipzig,-251,-0.848,0.066,"$1,375,000 ","$647,724"
150,16 Maicon,Roma,-292,-0.988,0.051,"$1,953,130 ","$851,338"
