Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
25,M. Brozovic,Inter,69,0.244,0.098,NA,"$659,366 "
26,M. Salah,Liverpool,67,0.237,0.117,NA,"$655,507 "
27,S. Tonali,AC Milan,66,0.235,0.082,NA,"$654,405 "
28,Thiago,Liverpool,66,0.235,0.072,NA,"$654,405 "
29,R. James,Chelsea,66,0.233,0.059,NA,"$653,302 "
30,Jordi Alba,FC Barcelona,65,0.23,0.212,"$1,350,000 ","$651,649 "
31,T. Lemar,Atlético de Madrid,65,0.229,0.066,"$150,000 ","$651,097 "
32,Renato Sanches,Paris Saint-Germain,63,0.224,0.059,NA,"$648,341 "
33,Canales,Real Betis Balompié,63,0.224,0.062,NA,"$648,341 "
34,I. Bennacer,AC Milan,62,0.22,0.116,"$125,000 ","$646,136 "
35,Alex Telles,Sevilla FC,62,0.22,0.119,NA,"$646,136 "
36,R. Malinovskyi,Atalanta,61,0.215,0.046,NA,"$643,380 "
37,W. McKennie,Juventus,58,0.206,0.118,"$450,000 ","$638,419 "
38,Casemiro,Real Madrid CF,55,0.196,0.043,NA,"$632,906 "
39,Angeliño,TSG Hoffenheim,54,0.193,0.084,"$200,000 ","$631,252 "
40,F. Kessié,FC Barcelona,49,0.173,0.09,"$800,000 ","$620,227 "
41,L. Digne,Aston Villa,48,0.171,0.031,NA,"$619,125 "
42,R. Lewandowski,FC Barcelona,41,0.147,0.069,NA,"$605,895 "
43,22 A. Vidal,Inter,41,0.144,0.045,NA,"$604,241 "
44,N. De la Cruz,River Plate,39,0.137,0.058,"$950,000 ","$600,382 "
45,C. Nkunku,RB Leipzig,38,0.135,0.129,NA,"$599,280 "
46,K. Walker,Manchester City,37,0.132,0.073,NA,"$597,626 "
47,T. Hernández,AC Milan,36,0.127,0.033,NA,"$594,870 "
48,I. Gündogan,Manchester City,33,0.116,0.038,"$700,000 ","$588,806 "
49,B. Bourigeaud,Stade Rennais FC,31,0.11,0.099,NA,"$585,499 "
50,R. Gosens,Inter,31,0.109,0.026,NA,"$584,947 "
51,G. Wijnaldum,Roma,30,0.107,0.029,NA,"$583,845 "
52,C. Tolisso,Olympique Lyonnais,28,0.101,0.063,NA,"$580,537 "
53,H. Kane,Tottenham Hotspur,28,0.099,0.089,"$700,000 ","$579,435 "
54,Koke,Atlético de Madrid,27,0.094,0.066,NA,"$576,679 "
55,J. Tavernier,Rangers FC,24,0.086,0.042,NA,"$572,269 "
56,J. Henderson,Liverpool,24,0.086,0.082,"$575,000 ","$572,269 "
57,L. Messi,Paris Saint-Germain,24,0.086,0.045,"$140,000 ","$572,269 "
58,M. Verratti,Paris Saint-Germain,23,0.083,0.032,NA,"$570,615 "
59,M. Uribe,FC Porto,22,0.077,0.023,NA,"$567,307 "
60,F. Valverde,Real Madrid CF,20,0.07,0.078,NA,"$563,449 "
61,S. Mané,FC Bayern München,19,0.066,0.11,NA,"$561,244 "
62,L. Ocampos,Sevilla FC,17,0.059,0.081,"$425,000 ","$557,385 "
63,Lucas Paquetá,Olympique Lyonnais,16,0.056,0.105,NA,"$555,731 "
64,Sergi Darder,RCD Espanyol de Barcelona,11,0.039,0.007,NA,"$546,360 "
65,Y. Tielemans,Leicester City,11,0.039,0.006,NA,"$546,360 "
66,Fred,Manchester United,10,0.037,0.042,NA,"$545,257 "
67,Bernardo Silva,Manchester City,10,0.037,0.061,"$675,000 ","$545,257 "
68,Grimaldo,SL Benfica,10,0.034,0.053,NA,"$543,604 "
69,Carlos Soler,Valencia CF,9,0.033,0.04,NA,"$543,052 "
70,Diogo Jota,Liverpool,9,0.031,0.084,NA,"$541,950 "
71,J. Bellingham,Borussia Dortmund,8,0.027,0.071,NA,"$539,745 "
72,G. Kondogbia,Atlético de Madrid,5,0.018,0.007,NA,"$534,784 "
73,K. Trippier,Newcastle United,4,0.014,0.041,NA,"$532,579 "
74,19 C. Marchisio,Juventus,4,0.014,0.01,NA,"$532,579 "
75,T. Delaney,Sevilla FC,4,0.014,0.004,NA,"$532,579 "
76,K. Mbappé,Paris Saint-Germain,3,0.011,0.002,NA,"$530,925 "
77,S. Obisanya,AFC Richmond,3,0.01,0.009,NA,"$530,374 "
78,Yuri Berchiche,Athletic Club de Bilbao,2,0.007,0.022,"$100,000 ","$528,720 "
79,J. Corona,Sevilla FC,2,0.006,0.018,NA,"$528,169 "
80,L. Robertone,Unión Deportiva Almería,0,-0.001,0.061,"$750,000 ","$524,310 "
81,M. Sabitzer,FC Bayern München,-1,-0.005,0.058,"$50,000 ","$522,105 "
82,H. Çalhanoglu,Inter,-1,-0.005,0.033,NA,"$522,105 "
83,Rúben Neves,Wolverhampton Wanderers,-4,-0.013,0.019,NA,"$517,695 "
84,Ó. Trejo,Rayo Vallecano,-5,-0.017,0.022,NA,"$515,490 "
85,K. Demirbay,Bayer 04 Leverkusen,-5,-0.017,0.02,NA,"$515,490 "
86,R. Guerreiro,Borussia Dortmund,-6,-0.021,0,NA,"$513,285 "
87,A. Davies,FC Bayern München,-8,-0.028,0.007,NA,"$509,426 "
88,D. Wass,Atlético de Madrid,-8,-0.029,0.006,"$100,000 ","$508,875 "
89,T. Koopmeiners,Atalanta,-9,-0.03,0.042,NA,"$508,324 "
90,J. Veretout,Olympique de Marseille,-9,-0.032,0.007,"$50,000 ","$507,221 "
91,P. Pogba,Juventus,-9,-0.033,0.016,"$325,000 ","$506,670 "
92,Jesús Navas,Sevilla FC,-10,-0.035,0.113,NA,"$505,567 "
93,Ricardo Pereira,Leicester City,-10,-0.036,0.012,"$250,000 ","$505,016 "
94,Fabinho,Liverpool,-11,-0.039,0.007,NA,"$503,362 "
95,Saúl,Atlético de Madrid,-12,-0.043,0.013,NA,"$501,157 "
96,L. Martínez,Inter,-12,-0.043,0.008,NA,"$501,157 "
97,Parejo,Villarreal CF,-13,-0.045,0.076,NA,"$500,055 "
98,G. Lo Celso,Tottenham Hotspur,-13,-0.046,0,NA,"$499,504 "
99,Roberto Firmino,Liverpool,-14,-0.05,0.002,"$450,000 ","$497,299 "
100,C. Biraghi,Fiorentina,-14,-0.05,0.014,NA,"$497,299 "
101,Cristiano Ronaldo,Manchester United,-16,-0.057,0.004,NA,"$493,440 "
102,F. Mendy,Real Madrid CF,-16,-0.057,0.005,NA,"$493,440 "
103,Neymar Jr,Paris Saint-Germain,-17,-0.061,0.01,"$250,000 ","$491,235 "
104,G. Bale,Los Angeles FC,-17,-0.061,0.018,"$375,000 ","$491,235 "
105,R. Andrich,Bayer 04 Leverkusen,-19,-0.067,0,NA,"$487,927 "
106,K. Laimer,RB Leipzig,-19,-0.068,0.01,"$220,000 ","$487,376 "
107,M. Reus,Borussia Dortmund,-19,-0.068,0.001,NA,"$487,376 "
108,M. Arnold,VfL Wolfsburg,-20,-0.07,0.01,NA,"$486,274 "
109,N. Kanté,Chelsea,-20,-0.072,0.025,NA,"$485,171 "
110,A. Robertson,Liverpool,-22,-0.078,0.001,NA,"$481,864 "
111,A. Florenzi,AC Milan,-23,-0.081,0.121,NA,"$480,210 "
112,17 S. Gerrard,LA Galaxy,-24,-0.085,0.009,NA,"$478,005 "
113,Y. Carrasco,Atlético de Madrid,-24,-0.085,0.008,NA,"$478,005 "
114,Anderson Talisca,Al Nassr,-24,-0.086,0.033,"$300,000 ","$477,454 "
115,Lucas Vázquez,Real Madrid CF,-24,-0.086,0.013,"$500,000 ","$477,454 "
116,Oscar,Shanghai Port FC,-25,-0.089,0,NA,"$475,800 "
117,Renan Lodi,Atlético de Madrid,-26,-0.091,0.065,"$225,000 ","$474,697 "
118,M. Faraoni,Hellas Verona,-27,-0.096,0,NA,"$471,941 "
119,T. Savanier,Montpellier Hérault SC,-27,-0.096,0.007,NA,"$471,941 "
120,N. Stanciu,Wuhan Three Towns,-28,-0.099,0.001,NA,"$470,287 "
121,L. Paredes,Paris Saint-Germain,-30,-0.107,0.009,NA,"$465,877 "
122,J. Ward-Prowse,Southampton,-32,-0.113,0.012,"$225,000 ","$462,570 "
123,M. Casco,River Plate,-32,-0.113,0.001,NA,"$462,570 "
124,R. Nainggolan,Royal Antwerp FC,-33,-0.116,0.013,NA,"$460,916 "
125,K. Benzema,Real Madrid CF,-33,-0.116,0.024,"$275,000 ","$460,916 "
126,T. Kroos,Real Madrid CF,-33,-0.116,0.022,NA,"$460,916 "
127,17 P. Lahm,FC Bayern München,-33,-0.117,0.007,NA,"$460,365 "
128,É. Banega,Al Shabab,-33,-0.117,0.001,NA,"$460,365 "
129,Pedro Porro,Sporting CP,-34,-0.12,0.01,NA,"$458,711 "
130,A. Barák,Hellas Verona,-35,-0.124,0.024,NA,"$456,506 "
131,T. Partey,Arsenal,-37,-0.131,0.002,NA,"$452,647 "
132,A. Tchouaméni,Real Madrid CF,-38,-0.134,0.007,"$50,000 ","$450,994 "
133,Á. Di María,Juventus,-38,-0.136,0.119,"$475,000 ","$449,891 "
134,19 Filipe Luís,Atlético de Madrid,-40,-0.14,0.059,NA,"$447,686 "
135,M. Kovacic,Chelsea,-40,-0.141,0.109,"$750,000 ","$447,135 "
136,H. Son,Tottenham Hotspur,-41,-0.145,0.013,"$100,000 ","$444,930 "
137,T. Müller,FC Bayern München,-42,-0.147,0.049,NA,"$443,827 "
138,Á. Correa,Atlético de Madrid,-43,-0.152,0.029,NA,"$441,071 "
139,Marcos Alonso,Chelsea,-44,-0.154,0.058,NA,"$439,969 "
140,Sergio Ramos,Paris Saint-Germain,-45,-0.16,0.016,NA,"$436,661 "
141,M. Pjanic,FC Barcelona,-46,-0.162,0.015,NA,"$435,559 "
142,E. Buendía,Aston Villa,-46,-0.163,0.063,"$525,000 ","$435,007 "
143,G. Bonaventura,Fiorentina,-47,-0.167,0.042,NA,"$432,802 "
144,16 Maicon,Roma,-47,-0.167,0.099,"$875,000 ","$432,802 "
145,G. Di Lorenzo,Napoli,-49,-0.173,0.057,NA,"$429,495 "
146,Y. Bissouma,Tottenham Hotspur,-50,-0.178,0,NA,"$426,739 "
147,M. Ham?ík,Trabzonspor,-53,-0.187,0.038,NA,"$421,777 "
148,22 Marcelo,Real Madrid CF,-53,-0.188,0.005,"$250,000 ","$421,226 "
149,21 Hulk,Shanghai Port FC,-53,-0.188,0.007,NA,"$421,226 "
150,Raúl García,Athletic Club de Bilbao,-56,-0.198,0.022,NA,"$415,714 "
151,Rodri,Manchester City,-58,-0.203,0.058,"$950,000 ","$412,957 "
152,T. Pobega,AC Milan,-58,-0.206,0.01,NA,"$411,304 "
153,O. Zinchenko,Arsenal,-59,-0.207,0.13,"$675,000 ","$410,752 "
154,E. Fernández,SL Benfica,-59,-0.21,0.083,"$375,000 ","$409,099 "
155,Adryan Zonta,RB Bragantino,-66,-0.234,0.108,"$325,000 ","$395,869 "
156,Cucurella,Chelsea,-69,-0.243,0.052,NA,"$390,907 "
157,Jonathan Viera,Unión Deportiva Las Palmas,-69,-0.243,0.033,"$625,000 ","$390,907 "
158,I. Rakitic,Sevilla FC,-78,-0.275,0.036,"$350,000 ","$373,267 "
159,T. Vilhena,RCD Espanyol de Barcelona,-78,-0.275,0.04,NA,"$373,267 "
160,M. Cornet,West Ham United,-79,-0.279,0.024,NA,"$371,062 "
161,Raphinha,FC Barcelona,-80,-0.283,0.007,NA,"$368,857 "
162,Arthur,Juventus,-81,-0.288,0.1,"$400,000 ","$366,101 "
163,21 Santi Cazorla,,-82,-0.29,0.048,NA,"$364,999 "
164,Jorginho,Chelsea,-84,-0.298,0.026,"$975,000 ","$360,589 "
165,J. McGinn,Aston Villa,-85,-0.3,0.034,NA,"$359,486 "
166, Filipe Luís,Atlético Madrid,-86,-0.303,0.098,NA,"$357,832 "
167, Vieirinha,PAOK,-87,-0.308,0.008,NA,"$355,076 "
168, R. Guerreiro,Borussia Dortmund,-89,-0.314,0.029,"$170,000 ","$351,769 "
169, Manuel Fernandes,Lokomotiv Moscow,-92,-0.327,0.025,"$625,000 ","$344,602 "
170, Thiago Mendes,LOSC Lille,-94,-0.333,0.005,"$720,000 ","$341,295 "
171, Y. Belhanda,Galatasaray SK,-103,-0.363,0.036,NA,"$324,757 "
172, M. Götze,Borussia Dortmund,-107,-0.379,0.027,"$250,000 ","$315,937 "
173, Parejo,Valencia CF,-121,-0.429,0.084,"$450,000 ","$288,375 "
174, J. Milner,Liverpool,-124,-0.438,0.012,NA,"$283,414 "
175, L. Stindl,Borussia Mönchengladbach,-137,-0.486,0.074,NA,"$256,954 "
176, Rúben Neves,Wolverhampton Wanderers,-144,-0.511,0.05,"$700,000 ","$243,172 "
177, L. Piszczek,Borussia Dortmund,-153,-0.542,0.006,"$900,000 ","$226,084 "
178, Danilo,Manchester City,-167,-0.591,0.054,NA,"$199,072 "
179, Lucas Vázquez,Real Madrid,-243,-0.861,0.035,NA,"$50,235 "
