Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
38,Casemiro,Real Madrid CF,42,0.15,0.067,NA,"$663,109 "
39,Angeliño,TSG Hoffenheim,41,0.148,0.06,"$666,667 ","$660,902 "
40,F. Kessié,FC Barcelona,40,0.144,0.093,"$833,000 ","$656,489 "
41,L. Digne,Aston Villa,36,0.131,0.109,"$750,000 ","$642,148 "
42,R. Lewandowski,FC Barcelona,35,0.127,0.098,"$183,000 ","$637,735 "
43,22 A. Vidal,Inter,34,0.122,0.087,"$2,083,333 ","$632,219 "
44,N. De la Cruz,River Plate,31,0.112,0.054,"$50,000 ","$621,186 "
45,C. Nkunku,RB Leipzig,31,0.111,0.023,NA,"$620,083 "
46,K. Walker,Manchester City,29,0.104,0.036,"$300,000 ","$612,361 "
47,T. Hernández,AC Milan,28,0.1,0.042,"$750,000 ","$607,948 "
48,I. Gündogan,Manchester City,27,0.097,0.106,"$708,000 ","$604,638 "
49,B. Bourigeaud,Stade Rennais FC,24,0.087,0.022,"$16,000 ","$593,606 "
50,R. Gosens,Inter,20,0.071,0.068,"$541,000 ","$575,955 "
51,G. Wijnaldum,Roma,19,0.069,0.087,"$1,250,000 ","$573,748 "
52,C. Tolisso,Olympique Lyonnais,19,0.067,0.083,"$166,667 ","$571,542 "
53,H. Kane,Tottenham Hotspur,17,0.062,0.071,"$633,333 ","$566,026 "
54,Koke,Atlético de Madrid,12,0.044,0.06,"$283,000 ","$546,168 "
55,J. Tavernier,Rangers FC,10,0.037,0.08,"$500,000 ","$538,446 "
56,J. Henderson,Liverpool,10,0.036,0.036,"$166,000 ","$537,342 "
57,L. Messi,Paris Saint-Germain,6,0.023,0.04,"$125,000 ","$523,001 "
58,M. Verratti,Paris Saint-Germain,5,0.017,0.02,"$83,333 ","$516,381 "
59,M. Uribe,FC Porto,4,0.016,0.009,"$100,000 ","$515,278 "
60,F. Valverde,Real Madrid CF,5,0.016,0.01,"$16,000 ","$515,278 "
61,S. Mané,FC Bayern München,4,0.014,0.017,"$466,000 ","$513,072 "
62,L. Ocampos,Sevilla FC,1,0.003,0.043,"$250,000 ","$500,936 "
63,Lucas Paquetá,Olympique Lyonnais,1,0.002,0.068,"$666,000 ","$499,833 "
64,Sergi Darder,RCD Espanyol de Barcelona,0,0,0.129,"$1,333,333 ","$497,627 "
65,Y. Tielemans,Leicester City,-1,-0.005,0.01,"$400,000 ","$492,111 "
66,Fred,Manchester United,-3,-0.009,0.037,"$133,000 ","$487,698 "
67,Bernardo Silva,Manchester City,-2,-0.009,0.009,"$158,000 ","$487,698 "
68,Grimaldo,SL Benfica,-2,-0.009,0.008,"$33,000 ","$487,698 "
69,Carlos Soler,Valencia CF,-4,-0.016,0.004,NA,"$479,975 "
70,Diogo Jota,Liverpool,-5,-0.019,0.112,"$1,583,333 ","$476,666 "
71,J. Bellingham,Borussia Dortmund,-10,-0.037,0.007,"$50,000 ","$456,808 "
72,G. Kondogbia,Atlético de Madrid,-11,-0.04,0.101,"$141,000 ","$453,498 "
73,K. Trippier,Newcastle United,-16,-0.058,0.01,"$100,000 ","$433,641 "
74,19 C. Marchisio,Juventus,-16,-0.059,0.148,"$125,000 ","$432,537 "
75,T. Delaney,Sevilla FC,-17,-0.063,0.003,"$16,000 ","$428,125 "
76,K. Mbappé,Paris Saint-Germain,-19,-0.067,0.074,"$1,666,667 ","$423,712 "
77,S. Obisanya,AFC Richmond,-22,-0.078,0.019,"$166,000 ","$411,576 "
78,Yuri Berchiche,Athletic Club de Bilbao,-22,-0.079,0.086,"$708,000 ","$410,473 "
79,J. Corona,Sevilla FC,-23,-0.081,0,"$33,333 ","$408,267 "
80,L. Robertone,Unión Deportiva Almería,-23,-0.081,0,"$83,000 ","$408,267 "
81,M. Sabitzer,FC Bayern München,-23,-0.083,0,"$83,333 ","$406,060 "
82,H. Çalhanoglu,Inter,-24,-0.085,0.044,"$333,000 ","$403,854 "
83,Rúben Neves,Wolverhampton Wanderers,-24,-0.086,0.003,"$50,000 ","$402,751 "
84,Ó. Trejo,Rayo Vallecano,-25,-0.091,0.015,"$366,000 ","$397,235 "
85,K. Demirbay,Bayer 04 Leverkusen,-28,-0.1,0.032,"$466,000 ","$387,306 "
86,R. Guerreiro,Borussia Dortmund,-29,-0.104,0.002,NA,"$382,893 "
87,A. Davies,FC Bayern München,-29,-0.105,0.023,"$250,000 ","$381,790 "
88,D. Wass,Atlético de Madrid,-30,-0.108,0.008,"$533,333 ","$378,480 "
89,T. Koopmeiners,Atalanta,-30,-0.108,0.002,"$183,333 ","$378,480 "
90,J. Veretout,Olympique de Marseille,-31,-0.111,0.022,"$108,000 ","$375,170 "
91,P. Pogba,Juventus,-32,-0.117,0.005,"$16,000 ","$368,551 "
92,Jesús Navas,Sevilla FC,-34,-0.124,0.052,NA,"$360,829 "
93,Ricardo Pereira,Leicester City,-39,-0.141,0.003,"$266,000 ","$342,074 "
94,Fabinho,Liverpool,-39,-0.141,0.001,NA,"$342,074 "
95,Saúl,Atlético de Madrid,-42,-0.152,0.036,"$108,000 ","$329,939 "
96,L. Martínez,Inter,-42,-0.153,0.061,"$366,000 ","$328,836 "
97,Parejo,Villarreal CF,-43,-0.154,0.079,"$16,667 ","$327,732 "
98,G. Lo Celso,Tottenham Hotspur,-44,-0.158,0.044,"$700,000 ","$323,320 "
99,Roberto Firmino,Liverpool,-48,-0.172,0.024,NA,"$307,875 "
100,C. Biraghi,Fiorentina,-48,-0.173,0.015,"$950,000 ","$306,771 "
101,Cristiano Ronaldo,Manchester United,-53,-0.19,0.044,"$266,000 ","$288,017 "
102,F. Mendy,Real Madrid CF,-55,-0.199,0.008,"$283,333 ","$278,088 "
103,Neymar Jr,Paris Saint-Germain,-59,-0.212,0.002,"$250,000 ","$263,746 "
104,G. Bale,Los Angeles FC,-60,-0.214,0.003,"$200,000 ","$261,540 "
105,R. Andrich,Bayer 04 Leverkusen,-62,-0.222,0.037,NA,"$252,714 "
106,K. Laimer,RB Leipzig,-63,-0.227,0.099,"$916,667 ","$247,198 "
107,M. Reus,Borussia Dortmund,-65,-0.234,0.003,"$466,667 ","$239,475 "
108,M. Arnold,VfL Wolfsburg,-66,-0.236,0.005,"$141,000 ","$237,269 "
109,N. Kanté,Chelsea,-67,-0.239,0.004,"$166,667 ","$233,959 "
110,A. Robertson,Liverpool,-67,-0.242,0.005,"$16,667 ","$230,650 "
111,A. Florenzi,AC Milan,-67,-0.243,0.054,"$200,000 ","$229,547 "
112,17 S. Gerrard,LA Galaxy,-69,-0.247,0.007,"$266,000 ","$225,134 "
113,Y. Carrasco,Atlético de Madrid,-70,-0.253,0.082,"$1,250,000 ","$218,514 "
114,Anderson Talisca,Al Nassr,-73,-0.261,0.002,"$283,000 ","$209,689 "
115,Lucas Vázquez,Real Madrid CF,-77,-0.277,0.042,"$16,000 ","$192,037 "
116,Oscar,Shanghai Port FC,-79,-0.285,0.053,"$583,333 ","$183,212 "
117,Renan Lodi,Atlético de Madrid,-82,-0.295,0.026,"$216,000 ","$172,180 "
118,M. Faraoni,Hellas Verona,-82,-0.296,0.032,"$116,000 ","$171,076 "
119,T. Savanier,Montpellier Hérault SC,-85,-0.305,0.032,"$125,000 ","$161,147 "
120,N. Stanciu,Wuhan Three Towns,-87,-0.313,0.01,NA,"$152,322 "
121,L. Paredes,Paris Saint-Germain,-87,-0.313,0.021,"$533,000 ","$152,322 "
122,J. Ward-Prowse,Southampton,-88,-0.316,0.005,"$16,000 ","$149,012 "
123,M. Casco,River Plate,-94,-0.337,0.019,"$500,000 ","$125,845 "
124,R. Nainggolan,Royal Antwerp FC,-95,-0.341,0.021,"$1,200,000 ","$121,432 "
125,K. Benzema,Real Madrid CF,-96,-0.346,0.018,"$200,000 ","$115,916 "
126,T. Kroos,Real Madrid CF,-98,-0.353,0.029,"$1,750,000 ","$108,193 "
127,17 P. Lahm,FC Bayern München,-100,-0.359,0.063,"$433,000 ","$101,574 "
128,É. Banega,Al Shabab,-102,-0.368,0.024,"$83,000 ","$91,645 "
129,Pedro Porro,Sporting CP,-104,-0.374,0.019,"$58,333 ","$85,026 "
130,A. Barák,Hellas Verona,-106,-0.381,0.026,"$333,000 ","$77,303 "
131,T. Partey,Arsenal,-110,-0.396,0.011,"$50,000 ","$60,755 "
132,A. Tchouaméni,Real Madrid CF,-112,-0.403,0.089,"$33,000 ","$53,033 "
133,Á. Di María,Juventus,-122,-0.438,0.078,"$625,000 ","$14,420 "
134,19 Filipe Luís,Atlético de Madrid,-126,-0.453,0.085,"$333,000 ","$2,128"
135,M. Kovacic,Chelsea,-127,-0.458,0.012,"$433,000 ","$7,644"
136,H. Son,Tottenham Hotspur,-133,-0.478,0.068,"$16,000 ","$29,708"
137,T. Müller,FC Bayern München,-141,-0.507,0.065,"$2,666,667 ","$61,701"
138,Á. Correa,Atlético de Madrid,-143,-0.514,0.012,"$16,000 ","$69,424"
139,Marcos Alonso,Chelsea,-157,-0.565,0.068,"$1,083,000 ","$125,687"
140,Sergio Ramos,Paris Saint-Germain,-165,-0.594,0.058,"$366,667 ","$157,681"
141,M. Pjanic,FC Barcelona,-165,-0.595,0.031,"$16,667 ","$158,784"
142,E. Buendía,Aston Villa,-184,-0.66,0.037,"$66,000 ","$230,492"
143,G. Bonaventura,Fiorentina,-187,-0.673,0.047,"$1,000,000 ","$244,834"
144,16 Maicon,Roma,-203,-0.732,0.044,"$466,000 ","$309,924"
145,G. Di Lorenzo,Napoli,-271,-0.975,0.075,"$850,000 ","$578,004"
