Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
57,L. Pellegrini,Roma,25,0.091,0.083,"$650,000 ","$706,205 "
58,D. Wass,Valencia CF,23,0.083,0.087,"$100,000 ","$699,923 "
59,A. Hakimi,Paris Saint-Germain,21,0.075,0.03,NA,"$693,641 "
60,Y. Tielemans,Leicester City,20,0.073,0.024,NA,"$692,071 "
61,Ricardo Pereira,Leicester City,16,0.06,0.042,NA,"$681,863 "
62,T. Hernández,AC Milan,16,0.057,0.038,NA,"$679,508 "
63,Grimaldo,SL Benfica,16,0.057,0.12,NA,"$679,508 "
64,21 Renato Augusto,Beijing Guoan FC,15,0.054,0.029,"$100,000 ","$677,152 "
65,Neymar Jr,Paris Saint-Germain,13,0.049,0.031,NA,"$673,226 "
66,K. Trippier,Atlético de Madrid,13,0.047,0.04,NA,"$671,656 "
67,N. De la Cruz,River Plate,12,0.044,0.043,NA,"$669,300 "
68,12 M. Ballack,Bayer 04 Leverusen,10,0.037,0.066,"$100,000 ","$663,804 "
69,Roberto Firmino,Liverpool,10,0.035,0.094,NA,"$662,233 "
70,19 C. Marchisio,Juventus,9,0.032,0.049,NA,"$659,878 "
71,R. De Paul,Atlético de Madrid,7,0.025,0.015,NA,"$654,382 "
72,N. Kanté,Chelsea,6,0.021,0.028,"$70,000 ","$651,241 "
73,A. Florenzi,AC Milan,4,0.015,0.065,NA,"$646,530 "
74,Yuri Berchiche,Athletic Club de Bilbao,3,0.012,0.069,"$150,000 ","$644,174 "
75,G. Bale,Real Madrid CF,3,0.012,0.019,NA,"$644,174 "
76,Portu,Real Sociedad,2,0.008,0.013,"$300,000 ","$641,033 "
77,A. Di María,Paris Saint-Germain,2,0.007,0.001,NA,"$640,248 "
78,21 I. Fernández,River Plate,0,0,0.126,"$1,000,000 ","$634,752 "
79,Jesús Navas,Sevilla FC,-1,-0.003,0.091,"$900,000 ","$632,396 "
80,F. Valverde,Real Madrid CF,-1,-0.003,0.084,NA,"$632,396 "
81,R. Guerreiro,Borussia Dortmund,-1,-0.005,0.068,"$900,000 ","$630,826 "
82,L. Paredes,Paris Saint-Germain,-1,-0.005,0.007,NA,"$630,826 "
83,K. Mbappé,Paris Saint-Germain,-3,-0.012,0.018,NA,"$625,329 "
84,G. Lo Celso,Tottenham Hotspur,-4,-0.015,0.022,"$190,000 ","$622,974 "
85,19 D. Srna,Cagliari,-6,-0.022,0.017,NA,"$617,477 "
86,A. Kolarov,Inter,-6,-0.023,0.015,"$50,000 ","$616,692 "
87,Fred,Manchester United,-7,-0.025,0.085,NA,"$615,122 "
88,Carlos Soler,Valencia CF,-7,-0.026,0.116,"$650,000 ","$614,336 "
89,19 C. Noboa,,-8,-0.029,0.003,NA,"$611,981 "
90,Rúben Neves,Wolverhampton Wanderers,-8,-0.029,0.058,"$270,000 ","$611,981 "
91,Anderson Talisca,Al Nassr,-9,-0.033,0.069,NA,"$608,840 "
92,J. Corona,FC Porto,-9,-0.033,0.057,"$475,000 ","$608,840 "
93,Parejo,Villarreal CF,-9,-0.034,0.179,"$1,100,000 ","$608,055 "
94,C. Tolisso,FC Bayern München,-11,-0.038,0.042,NA,"$604,914 "
95,A. Witsel,Borussia Dortmund,-11,-0.038,0.004,NA,"$604,914 "
96,Raúl García,Athletic Club de Bilbao,-12,-0.045,0.002,"$130,000 ","$599,418 "
97,Fabinho,Liverpool,-13,-0.048,0.015,NA,"$597,062 "
98,A. Robertson,Liverpool,-14,-0.051,0.013,NA,"$594,707 "
99,T. Partey,Arsenal,-15,-0.054,0.007,NA,"$592,351 "
100,L. Robertone,Unión Deportiva Almería,-16,-0.058,0.001,NA,"$589,210 "
101,L. Provod,S Slavia Praha,-17,-0.061,0.009,NA,"$586,855 "
102,Renan Lodi,Atlético de Madrid,-19,-0.067,0.019,NA,"$582,143 "
103,M. Arnold,VfL Wolfsburg,-19,-0.068,0.066,"$180,000 ","$581,358 "
104,17 J. Vargas,Real Betis Balompié,-19,-0.07,0.041,"$1,600,000 ","$579,788 "
105,I. Bennacer,AC Milan,-20,-0.074,0.002,NA,"$576,647 "
106,E. Banega,Al Shabab,-20,-0.074,0.001,NA,"$576,647 "
107,H. Herrera,Atlético de Madrid,-20,-0.074,0.002,"$100,000 ","$576,647 "
108,Marcelo,Real Madrid CF,-22,-0.08,0.005,NA,"$571,936 "
109,W. McKennie,Juventus,-22,-0.081,0,NA,"$571,151 "
110,T. Lemar,Atlético de Madrid,-23,-0.083,0.003,"$650,000 ","$569,580 "
111,I. Peri?ic,Inter,-24,-0.086,0.01,"$800,000 ","$567,225 "
112,Arthur,Juventus,-24,-0.087,0.001,NA,"$566,439 "
113,17 S. Gerrard,LA Galaxy,-24,-0.089,0.02,"$210,000 ","$564,869 "
114,Capa,Athletic Club de Bilbao,-25,-0.09,0.017,NA,"$564,084 "
115,P. ?evcík,S Slavia Praha,-26,-0.094,0.022,NA,"$560,943 "
116,Oscar,Shanghai Port FC,-26,-0.094,0.031,"$700,000 ","$560,943 "
117,T. Kroos,Real Madrid CF,-26,-0.096,0,"$20,000 ","$559,373 "
118,F. Mendy,Real Madrid CF,-26,-0.096,0,"$190,000 ","$559,373 "
119,Alex Sandro,Juventus,-26,-0.096,0,NA,"$559,373 "
120,Diogo Jota,Liverpool,-29,-0.106,0.015,"$300,000 ","$551,521 "
121,L. Stindl,Borussia Mönchengladbach,-30,-0.109,0.001,NA,"$549,165 "
122,M. Pjanic,Besitas J,-31,-0.114,0.007,"$150,000 ","$545,239 "
123,J. Tavernier,Rangers FC,-32,-0.116,0.001,"$260,000 ","$543,669 "
124,O. Zinchenko,Manchester City,-32,-0.116,0,NA,"$543,669 "
125,Pizzi,SL Benfica,-32,-0.116,0.001,"$180,000 ","$543,669 "
126,17 P. Lahm,FC Bayern München,-32,-0.118,0.029,NA,"$542,098 "
127,H. Mkhitaryan,Roma,-33,-0.121,0.07,NA,"$539,743 "
128,M. Rashford,Manchester United,-34,-0.123,0.003,NA,"$538,172 "
129,L. Martínez,Inter,-34,-0.123,0.109,"$900,000 ","$538,172 "
130,H. Son,Tottenham Hotspur,-34,-0.125,0.001,NA,"$536,602 "
131,D. van de Beek,Manchester United,-35,-0.128,0.024,"$100,000 ","$534,246 "
132,T. Koopmeiners,Atalanta,-36,-0.129,0.071,NA,"$533,461 "
133,J. Milner,Liverpool,-38,-0.137,0.003,NA,"$527,180 "
134,19 Filipe Luís,Atlético de Madrid,-38,-0.137,0.001,NA,"$527,180 "
135,Sérgio Oliveira,FC Porto,-38,-0.137,0.002,NA,"$527,180 "
136,A. Golovin,AS Monaco,-40,-0.144,0.059,NA,"$521,683 "
137,Z. Junuzovic,FC Red Bull Salzburg,-42,-0.153,0.006,NA,"$514,616 "
138,20 T. Vilhena,,-46,-0.165,0.044,"$1,000,000 ","$505,194 "
139,M. Ham?ík,Trabzonspor,-47,-0.17,0.03,NA,"$501,268 "
140,J. Ward-Prowse,Southampton,-47,-0.17,0.058,NA,"$501,268 "
141,C. Aránguiz,Bayer 04 Leverusen,-49,-0.177,0,NA,"$495,772 "
142,Ander Herrera,Paris Saint-Germain,-51,-0.187,0.06,NA,"$487,920 "
143,Fernandinho,Manchester City,-52,-0.189,0.006,NA,"$486,349 "
144,M. Uribe,FC Porto,-52,-0.189,0.037,NA,"$486,349 "
145,G. Bonaventura,Fiorentina,-54,-0.195,0.016,NA,"$481,638 "
146,G. Kondogbia,Atlético de Madrid,-54,-0.197,0.037,"$160,000 ","$480,068 "
147,Lucas Vázquez,Real Madrid CF,-55,-0.198,0.042,NA,"$479,282 "
148,16 Michel Bastos,São Paulo,-60,-0.217,0.095,"$850,000 ","$464,364 "
149,K. Laimer,RB Leipzig,-60,-0.218,0.003,NA,"$463,579 "
150,16 Maicon,Roma,-60,-0.219,0.056,NA,"$462,793 "
151,T. Müller,FC Bayern München,-61,-0.223,0,NA,"$459,653 "
152,17 B. Trémoulinas,Sevilla FC,-62,-0.226,0.003,"$700,000 ","$457,297 "
153,A. Rabiot,Juventus,-63,-0.227,0.082,"$300,000 ","$456,512 "
154,16 Raúl Meireles,Fenerbahçe S,-63,-0.229,0.011,NA,"$454,941 "
155,J. Vardy,Leicester City,-64,-0.234,0.05,NA,"$451,015 "
156,J. Kucka,Watford,-69,-0.25,0.021,NA,"$438,452 "
157,P. Dybala,Juventus,-69,-0.25,0.1,"$2,000,000 ","$438,452 "
158,T. Savanier,Montpellier Hérault SC,-71,-0.259,0,NA,"$431,385 "
159,Campaña,Levante Unión Deportiva,-74,-0.269,0.037,"$650,000 ","$423,533 "
160,21 Hulk,Shanghai Port FC,-75,-0.274,0.017,NA,"$419,607 "
161,Cristiano Ronaldo,Manchester United,-76,-0.277,0.013,NA,"$417,252 "
162,F. Mendy,Real Madrid CF,-79,-0.286,0.047,"$900,000 ","$410,185 "
163,Neymar Jr,Paris Saint-Germain,-85,-0.31,0.051,NA,"$391,340 "
164,G. Bale,Los Angeles FC,-86,-0.311,0.064,"$600,000 ","$390,555 "
165,R. Andrich,Bayer 04 Leverkusen,-86,-0.312,0.07,NA,"$389,770 "
166,K. Laimer,RB Leipzig,-90,-0.328,0.041,"$700,000 ","$377,207 "
167,M. Reus,Borussia Dortmund,-94,-0.34,0.064,"$400,000 ","$367,784 "
168,M. Arnold,VfL Wolfsburg,-96,-0.348,0.113,"$900,000 ","$361,503 "
169,N. Kanté,Chelsea,-98,-0.354,0.068,NA,"$356,792 "
170,A. Robertson,Liverpool,-98,-0.356,0.066,NA,"$355,221 "
171,A. Florenzi,AC Milan,-102,-0.369,0.049,NA,"$345,014 "
172,17 S. Gerrard,LA Galaxy,-102,-0.37,0.061,"$950,000 ","$344,229 "
173,Y. Carrasco,Atlético de Madrid,-103,-0.372,0.11,"$675,000 ","$342,658 "
174,Anderson Talisca,Al Nassr,-106,-0.383,0.008,NA,"$334,021 "
175,Lucas Vázquez,Real Madrid CF,-118,-0.428,0.005,NA,"$298,687 "
176,Oscar,Shanghai Port FC,-119,-0.43,0.029,NA,"$297,117 "
177,Renan Lodi,Atlético de Madrid,-120,-0.437,0.036,"$400,000 ","$291,620 "
178,M. Faraoni,Hellas Verona,-123,-0.446,0.027,NA,"$284,554 "
179,T. Savanier,Montpellier Hérault SC,-124,-0.449,0.036,"$550,000 ","$282,198 "
180,N. Stanciu,Wuhan Three Towns,-137,-0.498,0.052,NA,"$243,723 "
181,L. Paredes,Paris Saint-Germain,-138,-0.499,0.046,NA,"$242,938 "
182,J. Ward-Prowse,Southampton,-138,-0.502,0.017,"$450,000 ","$240,582 "
183,M. Casco,River Plate,-143,-0.518,0.079,"$400,000 ","$228,019 "
184,R. Nainggolan,Royal Antwerp FC,-144,-0.523,0.023,"$290,000 ","$224,093 "
185,K. Benzema,Real Madrid CF,-160,-0.58,0.087,"$800,000 ","$179,337 "
186,T. Kroos,Real Madrid CF,-165,-0.598,0.065,"$2,100,000 ","$165,204 "
187,17 P. Lahm,FC Bayern München,-231,-0.839,0.091,"$1,900,000 ","$24,029"
188,É. Banega,Al Shabab,-339,-1.231,0.061,"$850,000 ","$331,826"
