Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
79,Jesús Navas,Sevilla FC,-13,-0.045,0.015,"$166,000 ","$463,277 "
80,F. Valverde,Real Madrid CF,-14,-0.046,0.066,"$166,000 ","$462,059 "
81,R. Guerreiro,Borussia Dortmund,-14,-0.047,0.091,"$283,000 ","$460,841 "
82,L. Paredes,Paris Saint-Germain,-14,-0.049,0.024,"$433,000 ","$458,406 "
83,K. Mbappé,Paris Saint-Germain,-15,-0.051,0.04,"$583,000 ","$455,971 "
84,G. Lo Celso,Tottenham Hotspur,-16,-0.056,0.054,"$833,000 ","$449,883 "
85,19 D. Srna,Cagliari,-17,-0.058,0.001,"$108,000 ","$447,448 "
86,A. Kolarov,Inter,-19,-0.065,0,"$16,000 ","$438,924 "
87,Fred,Manchester United,-20,-0.067,0.024,"$800,000 ","$436,489 "
88,Carlos Soler,Valencia CF,-20,-0.069,0.051,"$433,000 ","$434,054 "
89,19 C. Noboa,,-21,-0.073,0.029,"$50,000 ","$429,184 "
90,Rúben Neves,Wolverhampton Wanderers,-23,-0.077,0.131,"$850,000 ","$424,313 "
91,Anderson Talisca,Al Nassr,-23,-0.078,0.013,"$150,000 ","$423,096 "
92,J. Corona,FC Porto,-25,-0.084,0.105,"$750,000 ","$415,790 "
93,Parejo,Villarreal CF,-25,-0.086,0,"$100,000 ","$413,355 "
94,C. Tolisso,FC Bayern München,-25,-0.086,0.001,"$33,000 ","$413,355 "
95,A. Witsel,Borussia Dortmund,-26,-0.087,0.073,"$466,000 ","$412,137 "
96,Raúl García,Athletic Club de Bilbao,-26,-0.087,0.016,"$1,000,000 ","$412,137 "
97,Fabinho,Liverpool,-26,-0.089,0.001,"$108,000 ","$409,702 "
98,A. Robertson,Liverpool,-27,-0.093,0.008,"$50,000 ","$404,831 "
99,T. Partey,Arsenal,-28,-0.094,0.022,"$166,000 ","$403,614 "
100,L. Robertone,Unión Deportiva Almería,-28,-0.094,0.021,NA,"$403,614 "
101,L. Provod,S Slavia Praha,-30,-0.101,0.103,"$1,300,000 ","$395,091 "
102,Renan Lodi,Atlético de Madrid,-31,-0.106,0.039,"$166,000 ","$389,003 "
103,M. Arnold,VfL Wolfsburg,-33,-0.111,0.024,"$66,000 ","$382,915 "
104,17 J. Vargas,Real Betis Balompié,-34,-0.114,0.02,"$50,000 ","$379,262 "
105,I. Bennacer,AC Milan,-34,-0.117,0.029,"$300,000 ","$375,609 "
106,E. Banega,Al Shabab,-37,-0.125,0.005,"$316,000 ","$365,868 "
107,H. Herrera,Atlético de Madrid,-37,-0.125,0.088,"$16,000 ","$365,868 "
108,Marcelo,Real Madrid CF,-37,-0.126,0.025,"$16,000 ","$364,650 "
109,W. McKennie,Juventus,-38,-0.128,0.054,"$108,000 ","$362,215 "
110,T. Lemar,Atlético de Madrid,-39,-0.134,0.023,"$166,000 ","$354,910 "
111,I. Peri?ic,Inter,-40,-0.137,0.003,"$83,000 ","$351,257 "
112,Arthur,Juventus,-41,-0.139,0.001,"$33,000 ","$348,822 "
113,17 S. Gerrard,LA Galaxy,-44,-0.149,0.043,"$400,000 ","$336,646 "
114,Capa,Athletic Club de Bilbao,-45,-0.152,0.009,"$33,000 ","$332,993 "
115,P. ?evcík,S Slavia Praha,-46,-0.155,0.01,NA,"$329,340 "
116,Oscar,Shanghai Port FC,-48,-0.163,0.018,"$66,000 ","$319,599 "
117,T. Kroos,Real Madrid CF,-48,-0.164,0.032,"$33,000 ","$318,381 "
118,F. Mendy,Real Madrid CF,-49,-0.166,0.05,"$233,000 ","$315,946 "
119,Alex Sandro,Juventus,-52,-0.176,0.007,"$158,000 ","$303,770 "
120,Diogo Jota,Liverpool,-58,-0.196,0.055,"$1,400,000 ","$279,418 "
121,L. Stindl,Borussia Mönchengladbach,-60,-0.203,0.069,"$1,666,667 ","$270,895 "
122,M. Pjanic,Besitas J,-60,-0.203,0.021,"$16,000 ","$270,895 "
123,J. Tavernier,Rangers FC,-62,-0.21,0.007,"$400,000 ","$262,372 "
124,O. Zinchenko,Manchester City,-64,-0.217,0.017,"$75,000 ","$253,848 "
125,Pizzi,SL Benfica,-65,-0.221,0.036,NA,"$248,978 "
126,17 P. Lahm,FC Bayern München,-66,-0.223,0.004,"$133,000 ","$246,543 "
127,H. Mkhitaryan,Roma,-68,-0.232,0.086,"$433,000 ","$235,584 "
128,M. Rashford,Manchester United,-68,-0.233,0.094,"$1,333,333 ","$234,367 "
129,L. Martínez,Inter,-70,-0.237,0.077,"$2,083,000 ","$229,496 "
130,H. Son,Tottenham Hotspur,-73,-0.248,0.003,"$16,000 ","$216,103 "
131,D. van de Beek,Manchester United,-76,-0.259,0.008,"$100,000 ","$202,709 "
132,T. Koopmeiners,Atalanta,-82,-0.279,0.05,"$166,000 ","$178,357 "
133,J. Milner,Liverpool,-89,-0.302,0.047,"$400,000 ","$150,352 "
134,19 Filipe Luís,Atlético de Madrid,-89,-0.302,0.053,"$833,000 ","$150,352 "
135,Sérgio Oliveira,FC Porto,-89,-0.304,0.065,"$916,000 ","$147,917 "
136,A. Golovin,AS Monaco,-95,-0.324,0.007,"$200,000 ","$123,565 "
137,Z. Junuzovic,FC Red Bull Salzburg,-99,-0.338,0.024,"$266,000 ","$106,518 "
138,20 T. Vilhena,,-102,-0.348,0.016,"$166,000 ","$94,342 "
139,M. Ham?ík,Trabzonspor,-106,-0.362,0.016,"$250,000 ","$77,296 "
140,J. Ward-Prowse,Southampton,-110,-0.375,0.046,NA,"$61,467 "
141,C. Aránguiz,Bayer 04 Leverusen,-115,-0.393,0.017,"$266,000 ","$39,550 "
142,Ander Herrera,Paris Saint-Germain,-119,-0.405,0.083,"$900,000 ","$24,939 "
143,Fernandinho,Manchester City,-127,-0.432,0.051,"$141,000 ","$7,937"
144,M. Uribe,FC Porto,-130,-0.441,0.045,"$583,000 ","$18,895"
145,G. Bonaventura,Fiorentina,-133,-0.452,0.048,"$791,000 ","$32,289"
146,G. Kondogbia,Atlético de Madrid,-136,-0.464,0.041,"$250,000 ","$46,900"
147,Lucas Vázquez,Real Madrid CF,-146,-0.496,0.05,"$250,000 ","$85,864"
148,16 Michel Bastos,São Paulo,-149,-0.507,0.046,"$200,000 ","$99,257"
149,K. Laimer,RB Leipzig,-150,-0.512,0.097,"$1,200,000 ","$105,345"
150,16 Maicon,Roma,-157,-0.535,0.037,"$466,000 ","$133,350"
151,T. Müller,FC Bayern München,-201,-0.684,0.055,"$708,000 ","$314,773"
152,17 B. Trémoulinas,Sevilla FC,-277,-0.944,0.037,"$541,000 ","$631,351"
