Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
41,L. Digne,Aston Villa,41,0.151,0.088,"$1,500,000 ","$695,058 "
42,R. Lewandowski,FC Barcelona,40,0.147,0.051,NA,"$691,658 "
43,22 A. Vidal,Inter,36,0.133,0.047,"$100,000 ","$679,756 "
44,N. De la Cruz,River Plate,33,0.121,0.061,NA,"$669,554 "
45,C. Nkunku,RB Leipzig,32,0.12,0.019,NA,"$668,704 "
46,K. Walker,Manchester City,32,0.119,0.094,"$1,200,000 ","$667,854 "
47,T. Hernández,AC Milan,30,0.112,0.038,"$140,000 ","$661,903 "
48,I. Gündogan,Manchester City,29,0.109,0.025,NA,"$659,352 "
49,B. Bourigeaud,Stade Rennais FC,28,0.106,0.04,NA,"$656,802 "
50,R. Gosens,Inter,28,0.104,0.116,"$850,000 ","$655,102 "
51,G. Wijnaldum,Roma,27,0.1,0.087,"$700,000 ","$651,701 "
52,C. Tolisso,Olympique Lyonnais,27,0.098,0.031,"$1,100,000 ","$650,001 "
53,H. Kane,Tottenham Hotspur,26,0.097,0.022,NA,"$649,151 "
54,Koke,Atlético de Madrid,26,0.096,0.024,"$200,000 ","$648,301 "
55,J. Tavernier,Rangers FC,24,0.09,0.123,"$675,000 ","$643,200 "
56,J. Henderson,Liverpool,24,0.09,0.079,"$700,000 ","$643,200 "
57,L. Messi,Paris Saint-Germain,23,0.087,0.081,"$475,000 ","$640,650 "
58,M. Verratti,Paris Saint-Germain,22,0.082,0.047,"$300,000 ","$636,399 "
59,M. Uribe,FC Porto,22,0.08,0.013,NA,"$634,699 "
60,F. Valverde,Real Madrid CF,21,0.077,0.01,NA,"$632,148 "
61,S. Mané,FC Bayern München,19,0.07,0.067,"$900,000 ","$626,197 "
62,L. Ocampos,Sevilla FC,18,0.067,0.04,NA,"$623,647 "
63,Lucas Paquetá,Olympique Lyonnais,17,0.062,0.01,NA,"$619,396 "
64,Sergi Darder,RCD Espanyol de Barcelona,15,0.056,0.086,"$750,000 ","$614,295 "
65,Y. Tielemans,Leicester City,14,0.051,0.061,NA,"$610,045 "
66,Fred,Manchester United,13,0.05,0.018,NA,"$609,195 "
67,Bernardo Silva,Manchester City,13,0.047,0.065,NA,"$606,644 "
68,Grimaldo,SL Benfica,12,0.045,0.092,"$475,000 ","$604,944 "
69,Carlos Soler,Valencia CF,11,0.043,0.028,NA,"$603,244 "
70,Diogo Jota,Liverpool,10,0.036,0.071,"$2,100,000 ","$597,293 "
71,J. Bellingham,Borussia Dortmund,9,0.035,0.064,NA,"$596,442 "
72,G. Kondogbia,Atlético de Madrid,9,0.032,0.125,"$650,000 ","$593,892 "
73,K. Trippier,Newcastle United,8,0.031,0.102,"$350,000 ","$593,042 "
74,19 C. Marchisio,Juventus,8,0.031,0.054,"$1,600,000 ","$593,042 "
75,T. Delaney,Sevilla FC,8,0.029,0.036,NA,"$591,342 "
76,K. Mbappé,Paris Saint-Germain,5,0.018,0.041,"$100,000 ","$581,990 "
77,S. Obisanya,AFC Richmond,4,0.015,0.076,"$450,000 ","$579,440 "
78,Yuri Berchiche,Athletic Club de Bilbao,2,0.008,0.077,"$100,000 ","$573,489 "
79,J. Corona,Sevilla FC,1,0.003,0.004,NA,"$569,238 "
80,L. Robertone,Unión Deportiva Almería,-1,-0.002,0.017,"$400,000 ","$564,987 "
81,M. Sabitzer,FC Bayern München,-2,-0.007,0.094,"$550,000 ","$560,737 "
82,H. Çalhanoglu,Inter,-3,-0.012,0.124,"$125,000 ","$556,486 "
83,Rúben Neves,Wolverhampton Wanderers,-4,-0.014,0.016,"$300,000 ","$554,786 "
84,Ó. Trejo,Rayo Vallecano,-6,-0.022,0.064,NA,"$547,985 "
85,K. Demirbay,Bayer 04 Leverkusen,-7,-0.024,0.02,"$290,000 ","$546,285 "
86,R. Guerreiro,Borussia Dortmund,-7,-0.025,0.042,NA,"$545,434 "
87,A. Davies,FC Bayern München,-7,-0.025,0.003,NA,"$545,434 "
88,D. Wass,Atlético de Madrid,-8,-0.028,0.009,"$400,000 ","$542,884 "
89,T. Koopmeiners,Atalanta,-8,-0.029,0.005,"$325,000 ","$542,034 "
90,J. Veretout,Olympique de Marseille,-8,-0.029,0.037,"$200,000 ","$542,034 "
91,P. Pogba,Juventus,-8,-0.03,0.001,"$200,000 ","$541,184 "
92,Jesús Navas,Sevilla FC,-9,-0.033,0.045,NA,"$538,633 "
93,Ricardo Pereira,Leicester City,-9,-0.034,0.027,NA,"$537,783 "
94,Fabinho,Liverpool,-9,-0.035,0.015,NA,"$536,933 "
95,Saúl,Atlético de Madrid,-10,-0.036,0.029,NA,"$536,083 "
96,L. Martínez,Inter,-10,-0.036,0.005,NA,"$536,083 "
97,Parejo,Villarreal CF,-10,-0.036,0.005,NA,"$536,083 "
98,G. Lo Celso,Tottenham Hotspur,-12,-0.044,0.002,NA,"$529,282 "
99,Roberto Firmino,Liverpool,-12,-0.044,0.001,NA,"$529,282 "
100,C. Biraghi,Fiorentina,-13,-0.048,0.001,NA,"$525,881 "
101,Cristiano Ronaldo,Manchester United,-14,-0.051,0.004,NA,"$523,331 "
102,F. Mendy,Real Madrid CF,-15,-0.057,0.049,"$210,000 ","$518,230 "
103,Neymar Jr,Paris Saint-Germain,-16,-0.059,0.001,NA,"$516,530 "
104,G. Bale,Los Angeles FC,-17,-0.062,0,NA,"$513,979 "
105,R. Andrich,Bayer 04 Leverkusen,-17,-0.062,0.002,NA,"$513,979 "
106,K. Laimer,RB Leipzig,-18,-0.067,0.031,"$350,000 ","$509,729 "
107,M. Reus,Borussia Dortmund,-18,-0.067,0.077,"$450,000 ","$509,729 "
108,M. Arnold,VfL Wolfsburg,-18,-0.067,0.001,"$20,000 ","$509,729 "
109,N. Kanté,Chelsea,-18,-0.067,0,NA,"$509,729 "
110,A. Robertson,Liverpool,-19,-0.071,0.094,"$500,000 ","$506,328 "
111,A. Florenzi,AC Milan,-20,-0.073,0.049,NA,"$504,628 "
112,17 S. Gerrard,LA Galaxy,-20,-0.074,0.001,NA,"$503,778 "
113,Y. Carrasco,Atlético de Madrid,-20,-0.074,0.001,"$325,000 ","$503,778 "
114,Anderson Talisca,Al Nassr,-20,-0.075,0.018,NA,"$502,928 "
115,Lucas Vázquez,Real Madrid CF,-21,-0.077,0.001,NA,"$501,227 "
116,Oscar,Shanghai Port FC,-23,-0.085,0.001,NA,"$494,426 "
117,Renan Lodi,Atlético de Madrid,-24,-0.088,0.005,NA,"$491,876 "
118,M. Faraoni,Hellas Verona,-25,-0.094,0.02,NA,"$486,775 "
119,T. Savanier,Montpellier Hérault SC,-26,-0.096,0.004,NA,"$485,075 "
120,N. Stanciu,Wuhan Three Towns,-26,-0.096,0,"$80,000 ","$485,075 "
121,L. Paredes,Paris Saint-Germain,-29,-0.109,0.059,NA,"$474,023 "
122,J. Ward-Prowse,Southampton,-29,-0.109,0.02,"$75,000 ","$474,023 "
123,M. Casco,River Plate,-29,-0.109,0.044,"$290,000 ","$474,023 "
124,R. Nainggolan,Royal Antwerp FC,-30,-0.11,0.005,"$100,000 ","$473,173 "
125,K. Benzema,Real Madrid CF,-30,-0.11,0.026,NA,"$473,173 "
126,T. Kroos,Real Madrid CF,-30,-0.113,0.01,NA,"$470,622 "
127,17 P. Lahm,FC Bayern München,-31,-0.116,0.017,NA,"$468,072 "
128,É. Banega,Al Shabab,-32,-0.118,0.009,NA,"$466,372 "
129,Pedro Porro,Sporting CP,-33,-0.122,0,NA,"$462,971 "
130,A. Barák,Hellas Verona,-33,-0.124,0.054,"$250,000 ","$461,271 "
131,T. Partey,Arsenal,-34,-0.126,0.007,"$100,000 ","$459,571 "
132,A. Tchouaméni,Real Madrid CF,-34,-0.128,0.008,NA,"$457,870 "
133,Á. Di María,Juventus,-35,-0.129,0.001,NA,"$457,020 "
134,19 Filipe Luís,Atlético de Madrid,-35,-0.13,0.025,"$20,000 ","$456,170 "
135,M. Kovacic,Chelsea,-36,-0.132,0.033,NA,"$454,470 "
136,H. Son,Tottenham Hotspur,-36,-0.133,0.035,NA,"$453,620 "
137,T. Müller,FC Bayern München,-36,-0.135,0.009,"$130,000 ","$451,920 "
138,Á. Correa,Atlético de Madrid,-36,-0.135,0.011,NA,"$451,920 "
139,Marcos Alonso,Chelsea,-37,-0.138,0.053,"$900,000 ","$449,369 "
140,Sergio Ramos,Paris Saint-Germain,-38,-0.14,0.126,"$950,000 ","$447,669 "
141,M. Pjanic,FC Barcelona,-39,-0.145,0.001,NA,"$443,418 "
142,E. Buendía,Aston Villa,-40,-0.147,0.033,NA,"$441,718 "
143,G. Bonaventura,Fiorentina,-40,-0.148,0.006,"$250,000 ","$440,868 "
144,16 Maicon,Roma,-41,-0.151,0.024,"$375,000 ","$438,317 "
145,G. Di Lorenzo,Napoli,-41,-0.151,0.002,"$80,000 ","$438,317 "
146,Y. Bissouma,Tottenham Hotspur,-41,-0.152,0.001,NA,"$437,467 "
147,M. Ham?ík,Trabzonspor,-42,-0.155,0.002,"$270,000 ","$434,917 "
148,22 Marcelo,Real Madrid CF,-43,-0.161,0.006,"$700,000 ","$429,816 "
149,21 Hulk,Shanghai Port FC,-44,-0.163,0.105,"$325,000 ","$428,116 "
150,Raúl García,Athletic Club de Bilbao,-45,-0.166,0.001,NA,"$425,565 "
151,Rodri,Manchester City,-47,-0.174,0.001,NA,"$418,764 "
152,T. Pobega,AC Milan,-47,-0.174,0.001,NA,"$418,764 "
153,O. Zinchenko,Arsenal,-48,-0.18,0.007,NA,"$413,663 "
154,E. Fernández,SL Benfica,-50,-0.184,0.001,NA,"$410,263 "
155,Adryan Zonta,RB Bragantino,-52,-0.193,0.011,"$20,000 ","$402,612 "
156,Cucurella,Chelsea,-52,-0.194,0.01,NA,"$401,762 "
157,Jonathan Viera,Unión Deportiva Las Palmas,-52,-0.194,0.007,"$50,000 ","$401,762 "
158,I. Rakitic,Sevilla FC,-55,-0.206,0.003,"$100,000 ","$391,560 "
159,T. Vilhena,RCD Espanyol de Barcelona,-56,-0.209,0.08,"$150,000 ","$389,010 "
160,M. Cornet,West Ham United,-58,-0.214,0.018,NA,"$384,759 "
161,Raphinha,FC Barcelona,-58,-0.215,0.001,"$150,000 ","$383,909 "
162,Arthur,Juventus,-59,-0.221,0.002,NA,"$378,808 "
163,21 Santi Cazorla,,-60,-0.222,0.058,"$650,000 ","$377,958 "
164,Jorginho,Chelsea,-61,-0.225,0.045,NA,"$375,407 "
165,J. McGinn,Aston Villa,-61,-0.227,0.009,"$500,000 ","$373,707 "
166,G. Kondogbia,Atlético de Madrid,-62,-0.229,0.003,NA,"$372,007 "
167,Lucas Vázquez,Real Madrid CF,-62,-0.23,0.008,NA,"$371,157 "
168,16 Michel Bastos,São Paulo,-63,-0.234,0.02,"$190,000 ","$367,756 "
169,K. Laimer,RB Leipzig,-64,-0.236,0.023,NA,"$366,056 "
170,16 Maicon,Roma,-64,-0.238,0.077,"$300,000 ","$364,356 "
171,T. Müller,FC Bayern München,-68,-0.251,0.118,"$1,900,000 ","$353,304 "
172,17 B. Trémoulinas,Sevilla FC,-68,-0.251,0.007,NA,"$353,304 "
173,A. Rabiot,Juventus,-74,-0.274,0.05,NA,"$333,751 "
174,16 Raúl Meireles,Fenerbahçe S,-75,-0.279,0.013,"$180,000 ","$329,500 "
175,J. Vardy,Leicester City,-77,-0.286,0.046,NA,"$323,549 "
176,J. Kucka,Watford,-79,-0.294,0.018,"$1,100,000 ","$316,748 "
177,P. Dybala,Juventus,-81,-0.301,0.025,NA,"$310,797 "
178,T. Savanier,Montpellier Hérault SC,-83,-0.309,0.027,"$50,000 ","$303,996 "
179,Campaña,Levante Unión Deportiva,-86,-0.319,0.02,"$80,000 ","$295,495 "
