Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
137,Z. Junuzovic,FC Red Bull Salzburg,-105,-0.348,0.014,"$105,000 ","$66,580 "
138,20 T. Vilhena,,-109,-0.36,0.08,"$541,000 ","$53,881 "
139,M. Ham?ík,Trabzonspor,-112,-0.371,0.028,"$850,000 ","$42,239 "
140,J. Ward-Prowse,Southampton,-112,-0.372,0.011,"$66,000 ","$41,181 "
141,C. Aránguiz,Bayer 04 Leverusen,-114,-0.379,0.086,"$150,000 ","$33,773 "
142,Ander Herrera,Paris Saint-Germain,-117,-0.389,0.014,"$30,000 ","$23,190 "
143,Fernandinho,Manchester City,-119,-0.395,0.011,"$158,000 ","$16,840 "
144,M. Uribe,FC Porto,-121,-0.4,0.085,"$1,333,333 ","$11,548 "
145,G. Bonaventura,Fiorentina,-121,-0.401,0.118,"$666,667 ","$10,490 "
146,G. Kondogbia,Atlético de Madrid,-123,-0.408,0.023,"$315,000 ","$3,082 "
147,Lucas Vázquez,Real Madrid CF,-123,-0.41,0.046,"$630,000 ",$965 
148,16 Michel Bastos,São Paulo,-124,-0.412,0.026,"$83,000 ","$1,151"
149,K. Laimer,RB Leipzig,-127,-0.421,0.065,"$466,000 ","$10,676"
150,16 Maicon,Roma,-127,-0.421,0.023,"$300,000 ","$10,676"
151,T. Müller,FC Bayern München,-128,-0.425,0.029,"$833,333 ","$14,909"
152,17 B. Trémoulinas,Sevilla FC,-133,-0.441,0.014,"$625,000 ","$31,842"
153,A. Rabiot,Juventus,-143,-0.476,0.005,"$433,333 ","$68,883"
154,16 Raúl Meireles,Fenerbahçe S,-151,-0.502,0.021,"$333,000 ","$96,399"
155,J. Vardy,Leicester City,-159,-0.528,0.033,"$1,000,000 ","$123,916"
156,J. Kucka,Watford,-214,-0.712,0.076,"$525,000 ","$318,645"
157,P. Dybala,Juventus,-218,-0.722,0.028,"$16,667 ","$329,228"
158,T. Savanier,Montpellier Hérault SC,-227,-0.753,0.114,"$166,000 ","$362,036"
