Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
68, Fred,Manchester United,0,0,0.001,NA,"$557,259 "
69, J. Cuadrado,Juventus,0,0,0,NA,"$557,259 "
70, T. Meunier,Paris Saint-Germain,0,-0.001,0.004,NA,"$556,692 "
71, Coutinho,FC Barcelona,-2,-0.009,0.058,"$900,000 ","$552,157 "
72, T. Kroos,Real Madrid,-2,-0.01,0.041,NA,"$551,591 "
73, E. Cavani,Paris Saint-Germain,-6,-0.023,0.007,NA,"$544,221 "
74, J. Henderson,Liverpool,-6,-0.026,0.109,"$675,000 ","$542,521 "
75, G. Kondogbia,Valencia CF,-7,-0.029,0.107,NA,"$540,820 "
76, M. Brozovic,Inter,-8,-0.031,0.016,NA,"$539,686 "
77, M. Dembélé,Guangzhou R&F FC,-8,-0.031,0.023,NA,"$539,686 "
78, Pizzi,SL Benfica,-10,-0.039,0.018,"$325,000 ","$535,152 "
79, A. Guardado,Real Betis,-10,-0.04,0.039,"$450,000 ","$534,585 "
80, K. Trippier,Tottenham Hotspur,-10,-0.042,0.006,NA,"$533,451 "
81, E. Can,Juventus,-11,-0.043,0.003,NA,"$532,884 "
82, Arthur,FC Barcelona,-11,-0.045,0,NA,"$531,750 "
83, Antunes,Getafe CF,-12,-0.049,0.014,NA,"$529,483 "
84, C. Aránguiz,Bayer 04 Leverkusen,-13,-0.051,0.003,NA,"$528,349 "
85, M. Verratti,Paris Saint-Germain,-13,-0.052,0.036,NA,"$527,782 "
86, R. Lewandowski,FC Bayern München,-14,-0.056,0.047,NA,"$525,515 "
87, Z. Junuzovic,FC Red Bull Salzburg,-16,-0.064,0.065,NA,"$520,980 "
88, M. Parolo,Lazio,-18,-0.071,0.002,NA,"$517,012 "
89, Neymar Jr,Paris Saint-Germain,-18,-0.072,0.014,NA,"$516,445 "
90, F. Kessié,Milan,-22,-0.088,0.001,"$75,000 ","$507,375 "
91, Ricardo Pereira,Leicester City,-22,-0.088,0.001,NA,"$507,375 "
92, I. Gündogan,Manchester City,-22,-0.089,0.048,NA,"$506,808 "
93, S. Khedira,Juventus,-23,-0.092,0,NA,"$505,108 "
94, G. Lo Celso,Real Betis,-23,-0.092,0,NA,"$505,108 "
95, M. Sanson,Olympique de Marseille,-23,-0.095,0.085,NA,"$503,407 "
96, E. Banega,Sevilla FC,-24,-0.097,0,NA,"$502,273 "
97, F. de Jong,Ajax,-26,-0.104,0.002,"$675,000 ","$498,305 "
98, L. Digne,Everton,-26,-0.105,0.057,NA,"$497,738 "
99, S. Lulic,Lazio,-27,-0.107,0.022,NA,"$496,605 "
100, R. Malinovskyi,KRC Genk,-27,-0.11,0.107,"$850,000 ","$494,904 "
101, A. Sánchez,Manchester United,-28,-0.113,0.011,NA,"$493,204 "
102, S. Mané,Liverpool,-28,-0.113,0.01,"$650,000 ","$493,204 "
103, Anderson Talisca,Guangzhou Evergrande Taobao FC,-28,-0.114,0.003,NA,"$492,637 "
104, J. Kucka,Parma,-29,-0.116,0.086,"$950,000 ","$491,503 "
105, Gabriel,SL Benfica,-29,-0.118,0.006,NA,"$490,369 "
106, E. Hazard,Chelsea,-31,-0.127,0.031,NA,"$485,267 "
107, T. Vilhena,Feyenoord,-32,-0.131,0.002,"$150,000 ","$483,000 "
108, S. Umtiti,FC Barcelona,-35,-0.14,0.017,NA,"$477,898 "
109, A. Di María,Paris Saint-Germain,-36,-0.144,0.054,NA,"$475,631 "
110, Filipe Luís,Atlético Madrid,-37,-0.151,0.01,NA,"$471,663 "
111, Vieirinha,PAOK,-38,-0.152,0.003,NA,"$471,096 "
112, R. Guerreiro,Borussia Dortmund,-38,-0.155,0.055,"$1,550,000 ","$469,395 "
113, Manuel Fernandes,Lokomotiv Moscow,-39,-0.158,0.002,NA,"$467,695 "
114, Thiago Mendes,LOSC Lille,-39,-0.159,0.06,"$625,000 ","$467,128 "
115, Y. Belhanda,Galatasaray SK,-40,-0.161,0.016,NA,"$465,994 "
116, M. Götze,Borussia Dortmund,-40,-0.163,0.001,NA,"$464,860 "
117, Parejo,Valencia CF,-41,-0.167,0.001,NA,"$462,593 "
118, J. Milner,Liverpool,-43,-0.172,0.001,NA,"$459,759 "
119, L. Stindl,Borussia Mönchengladbach,-43,-0.174,0.031,"$1,550,000 ","$458,625 "
120, Rúben Neves,Wolverhampton Wanderers,-44,-0.178,0.038,"$200,000 ","$456,357 "
121, L. Piszczek,Borussia Dortmund,-44,-0.18,0.044,NA,"$455,224 "
122, Danilo,Manchester City,-45,-0.184,0.044,"$150,000 ","$452,956 "
123, Lucas Vázquez,Real Madrid,-46,-0.186,0.06,"$250,000 ","$451,822 "
124, R. Vormer,Club Brugge KV,-47,-0.188,0.014,NA,"$450,689 "
125, A. Oxlade-Chamberlain,Liverpool,-47,-0.19,0.036,"$325,000 ","$449,555 "
126, L. Paredes,Paris Saint-Germain,-48,-0.196,0.03,NA,"$446,154 "
127, F. Delph,Manchester City,-50,-0.201,0.015,NA,"$443,320 "
128, C. Eriksen,Tottenham Hotspur,-53,-0.212,0.019,NA,"$437,084 "
129, D. van de Beek,Ajax,-53,-0.214,0.002,"$600,000 ","$435,950 "
130, Gazzolisco,Internacional,-54,-0.217,0.006,NA,"$434,250 "
131, B. Ndiaye,Galatasaray SK,-54,-0.217,0.03,NA,"$434,250 "
132, D. Criscito,Genoa,-55,-0.221,0.008,NA,"$431,982 "
133, K. Mbappé,Paris Saint-Germain,-55,-0.223,0.01,NA,"$430,848 "
134, H. Son,Tottenham Hotspur,-55,-0.224,0.044,NA,"$430,282 "
135, L. Torreira,Arsenal,-56,-0.227,0.108,"$975,000 ","$428,581 "
136, Isco,Real Madrid,-57,-0.23,0.077,NA,"$426,880 "
137, M. Mand?ukic,Juventus,-58,-0.236,0.007,NA,"$423,479 "
138, J. Roussillon,VfL Wolfsburg,-59,-0.24,0.049,NA,"$421,212 "
139, H. Herrera,FC Porto,-59,-0.24,0.097,"$400,000 ","$421,212 "
140, A. Ramsey,Arsenal,-59,-0.241,0.028,NA,"$420,645 "
141, J. Lingard,Manchester United,-60,-0.244,0.043,NA,"$418,944 "
142, Lucas Paquetá,Milan,-62,-0.252,0.03,NA,"$414,409 "
143, Maurício,PAOK,-66,-0.267,0.023,NA,"$405,906 "
144, F. Ghoulam,Napoli,-67,-0.27,0.062,"$675,000 ","$404,206 "
145, W. Rooney,DC United,-67,-0.271,0.062,NA,"$403,639 "
146, Portu,Girona FC,-69,-0.278,0.017,NA,"$399,671 "
147, D. Rose,Tottenham Hotspur,-71,-0.289,0.062,"$100,000 ","$393,435 "
148, S. Rudy,FC Schalke 04,-73,-0.297,0.041,"$425,000 ","$388,901 "
149, J. Draxler,Paris Saint-Germain,-76,-0.306,0.116,"$450,000 ","$383,799 "
150, D. Suárez,Getafe CF,-76,-0.306,0.004,"$375,000 ","$383,799 "
151, Sergi Roberto,FC Barcelona,-77,-0.311,0.041,NA,"$380,964 "
152, Illarramendi,Real Sociedad,-79,-0.32,0.061,NA,"$375,863 "
153, Rubén Peña,SD Eibar,-81,-0.327,0.066,"$350,000 ","$371,895 "
154, M. Layún,Monterrey,-84,-0.338,0.122,"$475,000 ","$365,659 "
155, M. Rashford,Manchester United,-85,-0.343,0.057,NA,"$362,825 "
156, Lucas Leiva,Lazio,-85,-0.344,0.052,"$800,000 ","$362,258 "
157, M. Wakaso,Deportivo Alavés,-94,-0.382,0.035,NA,"$340,717 "
158, K. Demirbay,TSG 1899 Hoffenheim,-96,-0.39,0.097,NA,"$336,182 "
159, H. Ziyech,Ajax,-101,-0.408,0.061,NA,"$325,979 "
160, Rafael,Olympique Lyonnais,-103,-0.418,0.023,"$160,000 ","$320,310 "
161, Fábio Coentrão,Rio Ave FC,-103,-0.418,0.107,NA,"$320,310 "
